     Time step:          Time:            Ek:            Ep:            Et:          Temp:          T/Ti:       Density:     Diffusion:
              1   0.0099776536      2171.5004     -3732.0311     -1560.5307      2.8953338     0.93695686      1.0979885  0.00036160667
             11     0.10975419      2150.7797     -3711.3114     -1560.5316      2.8677063     0.92801635      1.0980489   0.0039650341
             21     0.20953072      2094.6734     -3655.2073     -1560.5339      2.7928979     0.90380764      1.0980489   0.0075044662
             31     0.30930726      2001.1374     -3561.6746     -1560.5372      2.6681832     0.86344883      1.0980489    0.010918112
             41     0.40908380      1867.8464     -3428.3863     -1560.5399      2.4904619     0.80593655      1.0980489    0.014137777
             51     0.50886033      1694.5924     -3255.1310     -1560.5386      2.2594565     0.73118108      1.0980489    0.017087292
             61     0.60863687      1487.6168     -3048.1468     -1560.5301      1.9834890     0.64187544      1.0980489    0.019684565
             71     0.70841340      1264.5168     -2825.0296     -1560.5128      1.6860225     0.54561250      1.0980489    0.021850119
             81     0.80818994      1054.6751     -2615.1682     -1560.4931      1.4062335     0.45507020      1.0980489    0.023523402
             91     0.90796647      889.56739     -2450.0489     -1560.4815      1.1860899     0.38382967      1.0980489    0.024682043
            101      1.0077430      787.80897     -2348.2914     -1560.4824      1.0504120     0.33992305      1.0980489    0.025352276
            111      1.1075195      748.75748     -2309.2488     -1560.4914     0.99834331     0.32307315      1.0980489    0.025602250
            121      1.2072961      758.20032     -2318.7029     -1560.5025      1.0109338     0.32714754      1.0980489    0.025522897
            131      1.3070726      797.48907     -2358.0014     -1560.5123      1.0633188     0.34409981      1.0980489    0.025207909
            141      1.4068492      849.63982     -2410.1587     -1560.5188      1.1328531     0.36660176      1.0980489    0.024740061
            151      1.5066257      901.96879     -2462.4914     -1560.5226      1.2026251     0.38918062      1.0980489    0.024184756
            161      1.6064022      946.68659     -2507.2105     -1560.5239      1.2622488     0.40847541      1.0980489    0.023588889
            171      1.7061788      980.43036     -2540.9536     -1560.5233      1.3072405     0.42303514      1.0980489    0.022982880
            181      1.8059553      1003.1556     -2563.6773     -1560.5217      1.3375408     0.43284061      1.0980489    0.022384222
            191      1.9057318      1016.7707     -2577.2901     -1560.5195      1.3556942     0.43871522      1.0980489    0.021801350
            201      2.0055084      1023.9152     -2584.4330     -1560.5178      1.3652203     0.44179793      1.0980489    0.021237076
            211      2.1052849      1027.1006     -2587.6171     -1560.5166      1.3694674     0.44317236      1.0980489    0.020691173
            221      2.2050614      1028.3317     -2588.8477     -1560.5161      1.3711089     0.44370355      1.0980489    0.020162087
            231      2.3048380      1028.9919     -2589.5075     -1560.5156      1.3719892     0.44398844      1.0980489    0.019647962
            241      2.4046145      1029.6777     -2590.1936     -1560.5159      1.3729036     0.44428433      1.0980489    0.019147157
            251      2.5043910      1030.1656     -2590.6820     -1560.5164      1.3735541     0.44449485      1.0980489    0.018658370
            261      2.6041676      1029.8049     -2590.3219     -1560.5170      1.3730732     0.44433923      1.0980489    0.018180435
            271      2.7039441      1028.1117     -2588.6288     -1560.5171      1.3708157     0.44360866      1.0980489    0.017712016
            281      2.8037206      1025.1457     -2585.6623     -1560.5166      1.3668609     0.44232887      1.0980489    0.017251439
            291      2.9034972      1021.7646     -2582.2802     -1560.5155      1.3623529     0.44087002      1.0980489    0.016796756
            301      3.0032737      1019.8357     -2580.3498     -1560.5141      1.3597809     0.44003771      1.0980489    0.016346067
            311      3.1030503      1021.4563     -2581.9701     -1560.5137      1.3619418     0.44073698      1.0980489    0.015898133
            321      3.2028268      1027.1365     -2587.6513     -1560.5148      1.3695153     0.44318784      1.0980489    0.015452963
            331      3.3026033      1035.3227     -2595.8388     -1560.5160      1.3804303     0.44672004      1.0980489    0.015011791
            341      3.4023799      1043.9471     -2604.4636     -1560.5166      1.3919294     0.45044127      1.0980489    0.014576400
            351      3.5021564      1051.7923     -2612.3087     -1560.5164      1.4023898     0.45382633      1.0980489    0.014148405
            361      3.6019329      1058.6747     -2619.1906     -1560.5159      1.4115663     0.45679593      1.0980489    0.013728918
            371      3.7017095      1065.2571     -2625.7720     -1560.5149      1.4203428     0.45963611      1.0980489    0.013318572
            381      3.8014860      1072.7742     -2633.2880     -1560.5138      1.4303656     0.46287957      1.0980489    0.012917784
            391      3.9012625      1082.3877     -2642.9012     -1560.5134      1.4431836     0.46702760      1.0980489    0.012527120
            401      4.0010391      1094.3451     -2654.8594     -1560.5143      1.4591268     0.47218696      1.0980489    0.012147593
            411      4.1008156      1107.4553     -2667.9710     -1560.5157      1.4766070     0.47784373      1.0980489    0.011780691
            421      4.2005921      1119.3649     -2679.8824     -1560.5175      1.4924866     0.48298249      1.0980489    0.011428059
            431      4.3003687      1127.6453     -2688.1636     -1560.5182      1.5035271     0.48655531      1.0980489    0.011090940
            441      4.4001452      1131.0540     -2691.5719     -1560.5179      1.5080720     0.48802608      1.0980489    0.010769691
            451      4.4999218      1130.1350     -2690.6516     -1560.5166      1.5068467     0.48762957      1.0980489    0.010463616
            461      4.5996983      1126.7892     -2687.3045     -1560.5153      1.5023856     0.48618592      1.0980489    0.010171231
            471      4.6994748      1123.2040     -2683.7183     -1560.5143      1.4976053     0.48463898      1.0980489   0.0098907441
            481      4.7992514      1121.1745     -2681.6880     -1560.5135      1.4948994     0.48376330      1.0980489   0.0096205173
            491      4.8990279      1122.0005     -2682.5134     -1560.5129      1.4960007     0.48411969      1.0980489   0.0093593610
            501      4.9988044      1126.3784     -2686.8916     -1560.5132      1.5018379     0.48600865      1.0980489   0.0091066912
            511      5.0985810      1134.2263     -2694.7398     -1560.5135      1.5123018     0.48939488      1.0980489   0.0088625710
            521      5.1983575      1144.7018     -2705.2160     -1560.5142      1.5262691     0.49391482      1.0980489   0.0086276205
            531      5.2981340      1156.5303     -2717.0455     -1560.5152      1.5420404     0.49901856      1.0980489   0.0084028237
            541      5.3979106      1168.2981     -2728.8139     -1560.5158      1.5577308     0.50409614      1.0980489   0.0081892967
            551      5.4976871      1178.6536     -2739.1701     -1560.5165      1.5715382     0.50856432      1.0980489   0.0079880666
            561      5.5974636      1186.4650     -2746.9818     -1560.5168      1.5819534     0.51193478      1.0980489   0.0077998832
            571      5.6972402      1191.0783     -2751.5951     -1560.5169      1.5881043     0.51392529      1.0980489   0.0076250765
            581      5.7970167      1192.5142     -2753.0308     -1560.5166      1.5900189     0.51454486      1.0980489   0.0074634955
            591      5.8967933      1191.2990     -2751.8152     -1560.5163      1.5883986     0.51402052      1.0980489   0.0073145547
            601      5.9965698      1187.9695     -2748.4859     -1560.5164      1.5839594     0.51258393      1.0980489   0.0071773487
            611      6.0963463      1182.8819     -2743.3980     -1560.5162      1.5771758     0.51038872      1.0980489   0.0070507370
            621      6.1961229      1176.7703     -2737.2855     -1560.5152      1.5690271     0.50775172      1.0980489   0.0069333849
            631      6.2958994      1171.0495     -2731.5635     -1560.5141      1.5613993     0.50528328      1.0980489   0.0068238778
            641      6.3956759      1167.1311     -2727.6446     -1560.5135      1.5561748     0.50359259      1.0980489   0.0067209598
            651      6.4954525      1165.4151     -2725.9291     -1560.5140      1.5538868     0.50285217      1.0980489   0.0066237566
            661      6.5952290      1165.1027     -2725.6176     -1560.5149      1.5534703     0.50271738      1.0980489   0.0065318131
            671      6.6950055      1164.8973     -2725.4129     -1560.5156      1.5531963     0.50262874      1.0980489   0.0064449274
            681      6.7947821      1163.8093     -2724.3251     -1560.5158      1.5517457     0.50215930      1.0980489   0.0063629210
            691      6.8945586      1161.3870     -2721.9029     -1560.5160      1.5485160     0.50111412      1.0980489   0.0062854885
            701      6.9943351      1157.4386     -2717.9547     -1560.5161      1.5432514     0.49941047      1.0980489   0.0062121449
            711      7.0941117      1152.0236     -2712.5396     -1560.5160      1.5360314     0.49707401      1.0980489   0.0061422134
            721      7.1938882      1145.9508     -2706.4660     -1560.5153      1.5279344     0.49445372      1.0980489   0.0060748463
            731      7.2936648      1140.6859     -2701.2006     -1560.5148      1.5209145     0.49218204      1.0980489   0.0060091579
            741      7.3934413      1136.9254     -2697.4410     -1560.5157      1.5159005     0.49055945      1.0980489   0.0059444433
            751      7.4932178      1133.8508     -2694.3673     -1560.5165      1.5118011     0.48923285      1.0980489   0.0058802569
            761      7.5929944      1130.5887     -2691.1052     -1560.5164      1.5074516     0.48782533      1.0980489   0.0058162609
            771      7.6927709      1127.3458     -2687.8619     -1560.5161      1.5031278     0.48642608      1.0980489   0.0057520796
            781      7.7925474      1124.7814     -2685.2975     -1560.5161      1.4997086     0.48531960      1.0980489   0.0056873314
            791      7.8923240      1123.1155     -2683.6315     -1560.5161      1.4974873     0.48460077      1.0980489   0.0056217339
            801      7.9921005      1122.1382     -2682.6543     -1560.5162      1.4961842     0.48417909      1.0980489   0.0055551387
            811      8.0918770      1121.8754     -2682.3910     -1560.5155      1.4958339     0.48406572      1.0980489   0.0054874896
            821      8.1916536      1122.9579     -2683.4728     -1560.5149      1.4972771     0.48453277      1.0980489   0.0054188044
            831      8.2914301      1126.2414     -2686.7561     -1560.5147      1.5016552     0.48594954      1.0980489   0.0053492323
            841      8.3912066      1132.0312     -2692.5467     -1560.5155      1.5093749     0.48844772      1.0980489   0.0052791467
            851      8.4909832      1139.5409     -2700.0576     -1560.5167      1.5193879     0.49168801      1.0980489   0.0052091714
            861      8.5907597      1147.0304     -2707.5485     -1560.5181      1.5293739     0.49491957      1.0980489   0.0051400827
            871      8.6905362      1152.5147     -2713.0339     -1560.5192      1.5366863     0.49728592      1.0980489   0.0050726113
