     Time step:          Time:            Ek:            Ep:            Et:          Temp:          T/Ti:       Density:     Diffusion:
              1   0.0099776536      4460.3791     -3731.8497      728.52933      5.9471721     0.93695686      1.0979885  0.00074275964
             11     0.10975419      4417.4271     -3688.9027      728.52436      5.8899028     0.92793427      1.0980489   0.0081442565
             21     0.20953072      4297.3157     -3568.8059      728.50976      5.7297543     0.90270341      1.0980489    0.015410907
             31     0.30930726      4085.0012     -3356.5126      728.48856      5.4466683     0.85810417      1.0980489    0.022399700
             41     0.40908380      3760.1287     -3031.6585      728.47012      5.0135049     0.78986074      1.0980489    0.028928032
             51     0.50886033      3315.3791     -2586.8954      728.48369      4.4205055     0.69643570      1.0980489    0.034760702
             61     0.60863687      2796.5076     -2067.9535      728.55413      3.7286768     0.58744043      1.0980489    0.039627682
             71     0.70841340      2323.1178     -1594.4890      728.62881      3.0974904     0.48799914      1.0980489    0.043306376
             81     0.80818994      2010.9763     -1282.3373      728.63897      2.6813017     0.42243002      1.0980489    0.045740260
             91     0.90796647      1881.7034     -1153.0963      728.60715      2.5089379     0.39527468      1.0980489    0.047073578
            101      1.0077430      1885.0055     -1156.4347      728.57077      2.5133407     0.39596832      1.0980489    0.047566986
            111      1.1075195      1955.8644     -1227.3208      728.54361      2.6078192     0.41085310      1.0980489    0.047492926
            121      1.2072961      2041.9285     -1313.3995      728.52904      2.7225713     0.42893191      1.0980489    0.047075127
            131      1.3070726      2112.3748     -1383.8475      728.52729      2.8164997     0.44373001      1.0980489    0.046469455
            141      1.4068492      2158.2602     -1429.7269      728.53333      2.8776803     0.45336880      1.0980489    0.045769679
            151      1.5066257      2185.1980     -1456.6576      728.54037      2.9135973     0.45902741      1.0980489    0.045025424
            161      1.6064022      2202.8455     -1474.3008      728.54466      2.9371273     0.46273448      1.0980489    0.044261716
            171      1.7061788      2217.1073     -1488.5622      728.54504      2.9561430     0.46573034      1.0980489    0.043492914
            181      1.8059553      2228.8900     -1500.3442      728.54579      2.9718534     0.46820545      1.0980489    0.042728896
            191      1.9057318      2238.5674     -1510.0206      728.54685      2.9847566     0.47023830      1.0980489    0.041976304
            201      2.0055084      2247.0370     -1518.4916      728.54546      2.9960494     0.47201745      1.0980489    0.041239340
            211      2.1052849      2252.8688     -1524.3255      728.54330      3.0038251     0.47324249      1.0980489    0.040520791
            221      2.2050614      2253.5927     -1525.0506      728.54212      3.0047903     0.47339455      1.0980489    0.039821690
            231      2.3048380      2247.9884     -1519.4481      728.54028      2.9973178     0.47221729      1.0980489    0.039140647
            241      2.4046145      2234.4153     -1505.8770      728.53832      2.9792204     0.46936610      1.0980489    0.038473969
            251      2.5043910      2213.0322     -1484.4878      728.54431      2.9507095     0.46487431      1.0980489    0.037815507
            261      2.6041676      2193.8665     -1465.3180      728.54855      2.9251554     0.46084834      1.0980489    0.037157352
            271      2.7039441      2182.3426     -1453.8019      728.54064      2.9097901     0.45842759      1.0980489    0.036494160
            281      2.8037206      2168.4473     -1439.9079      728.53935      2.8912630     0.45550871      1.0980489    0.035824763
            291      2.9034972      2149.1443     -1420.5986      728.54571      2.8655257     0.45145389      1.0980489    0.035147828
            301      3.0032737      2132.2711     -1403.7209      728.55016      2.8430282     0.44790947      1.0980489    0.034460455
            311      3.1030503      2125.0853     -1396.5337      728.55156      2.8334470     0.44640000      1.0980489    0.033760796
            321      3.2028268      2129.7934     -1401.2416      728.55181      2.8397245     0.44738900      1.0980489    0.033049974
            331      3.3026033      2146.1613     -1417.6092      728.55207      2.8615484     0.45082728      1.0980489    0.032331940
            341      3.4023799      2173.2808     -1444.7304      728.55041      2.8977078     0.45652406      1.0980489    0.031612647
            351      3.5021564      2207.9351     -1479.3886      728.54646      2.9439135     0.46380361      1.0980489    0.030899334
            361      3.6019329      2243.3705     -1514.8284      728.54202      2.9911606     0.47124724      1.0980489    0.030199590
            371      3.7017095      2272.2680     -1543.7276      728.54039      3.0296906     0.47731752      1.0980489    0.029519834
            381      3.8014860      2291.5612     -1563.0187      728.54250      3.0554149     0.48137028      1.0980489    0.028863953
            391      3.9012625      2302.7488     -1574.2047      728.54402      3.0703317     0.48372038      1.0980489    0.028233196
            401      4.0010391      2307.4104     -1578.8663      728.54411      3.0765472     0.48469961      1.0980489    0.027627121
            411      4.1008156      2305.0639     -1576.5194      728.54444      3.0734185     0.48420670      1.0980489    0.027044345
            421      4.2005921      2296.4985     -1567.9503      728.54819      3.0619979     0.48240742      1.0980489    0.026482604
            431      4.3003687      2286.6125     -1558.0605      728.55199      3.0488167     0.48033076      1.0980489    0.025938983
            441      4.4001452      2280.7358     -1552.1839      728.55195      3.0409811     0.47909629      1.0980489    0.025410949
            451      4.4999218      2279.8813     -1551.3305      728.55085      3.0398417     0.47891679      1.0980489    0.024897210
            461      4.5996983      2283.6787     -1555.1254      728.55329      3.0449049     0.47971447      1.0980489    0.024397438
            471      4.6994748      2296.2642     -1567.7068      728.55741      3.0616856     0.48235821      1.0980489    0.023911823
            481      4.7992514      2322.6706     -1594.1160      728.55459      3.0968942     0.48790521      1.0980489    0.023441868
            491      4.8990279      2358.1429     -1629.5985      728.54444      3.1441906     0.49535660      1.0980489    0.022991487
            501      4.9988044      2387.7968     -1659.2613      728.53546      3.1837290     0.50158575      1.0980489    0.022566075
            511      5.0985810      2398.1419     -1669.6091      728.53286      3.1975226     0.50375887      1.0980489    0.022169629
            521      5.1983575      2384.9876     -1656.4519      728.53572      3.1799834     0.50099564      1.0980489    0.021802388
            531      5.2981340      2353.6887     -1625.1452      728.54348      3.1382516     0.49442092      1.0980489    0.021460437
            541      5.3979106      2316.5318     -1587.9799      728.55191      3.0887091     0.48661567      1.0980489    0.021137053
            551      5.4976871      2286.7910     -1558.2353      728.55567      3.0490547     0.48036826      1.0980489    0.020825095
            561      5.5974636      2271.1951     -1542.6407      728.55440      3.0282601     0.47709215      1.0980489    0.020519284
            571      5.6972402      2268.4940     -1539.9434      728.55065      3.0246587     0.47652476      1.0980489    0.020217087
            581      5.7970167      2272.6147     -1544.0688      728.54594      3.0301530     0.47739036      1.0980489    0.019918146
            591      5.8967933      2276.9720     -1548.4278      728.54427      3.0359627     0.47830566      1.0980489    0.019622964
            601      5.9965698      2279.3179     -1550.7738      728.54411      3.0390905     0.47879844      1.0980489    0.019331723
            611      6.0963463      2281.0621     -1552.5180      728.54410      3.0414161     0.47916483      1.0980489    0.019044009
            621      6.1961229      2287.4954     -1558.9393      728.55606      3.0499939     0.48051622      1.0980489    0.018759171
            631      6.2958994      2315.9350     -1587.3792      728.55586      3.0879134     0.48649031      1.0980489    0.018477301
            641      6.3956759      2363.7093     -1635.1734      728.53592      3.1516124     0.49652588      1.0980489    0.018201835
            651      6.4954525      2401.5682     -1673.0361      728.53206      3.2020909     0.50447860      1.0980489    0.017938870
            661      6.5952290      2417.7142     -1689.1770      728.53720      3.2236189     0.50787026      1.0980489    0.017692598
            671      6.6950055      2415.6304     -1687.0890      728.54139      3.2208406     0.50743254      1.0980489    0.017463706
            681      6.7947821      2400.4115     -1671.8677      728.54386      3.2005487     0.50423563      1.0980489    0.017250390
            691      6.8945586      2376.2767     -1647.7296      728.54719      3.1683690     0.49916582      1.0980489    0.017049470
            701      6.9943351      2348.9325     -1620.3822      728.55037      3.1319101     0.49342184      1.0980489    0.016857127
            711      7.0941117      2324.2113     -1595.6586      728.55268      3.0989483     0.48822883      1.0980489    0.016669660
            721      7.1938882      2307.2635     -1578.7074      728.55618      3.0763514     0.48466876      1.0980489    0.016484174
            731      7.2936648      2303.9681     -1575.4121      728.55594      3.0719574     0.48397651      1.0980489    0.016299164
            741      7.3934413      2313.7126     -1585.1646      728.54805      3.0849502     0.48602347      1.0980489    0.016115160
            751      7.4932178      2325.6707     -1597.1285      728.54217      3.1008942     0.48853540      1.0980489    0.015934312
            761      7.5929944      2330.9655     -1602.4228      728.54267      3.1079540     0.48964765      1.0980489    0.015758566
            771      7.6927709      2330.1690     -1601.6218      728.54722      3.1068920     0.48948033      1.0980489    0.015588452
            781      7.7925474      2330.0771     -1601.5263      728.55075      3.1067694     0.48946102      1.0980489    0.015423485
            791      7.8923240      2334.9474     -1606.3980      728.54938      3.1132632     0.49048409      1.0980489    0.015263333
