     Time step:          Time:            Ek:            Ep:            Et:          Temp:          T/Ti:       Density:     Diffusion:
              1   0.0099776536      5047.2710     -3731.8032      1315.4678      6.7296947     0.93695686      1.0979885  0.00084049117
             11     0.10975419      4998.5522     -3683.0913      1315.4609      6.6647363     0.92791287      1.0980489   0.0092158284
             21     0.20953072      4861.1731     -3545.7315      1315.4416      6.4815642     0.90241032      1.0980489    0.017437567
             31     0.30930726      4614.6658     -3299.2540      1315.4119      6.1528878     0.85664961      1.0980489    0.025338891
             41     0.40908380      4231.0734     -2915.6861      1315.3873      5.6414312     0.78544092      1.0980489    0.032699512
             51     0.50886033      3702.1320     -2386.7201      1315.4120      4.9361761     0.68725019      1.0980489    0.039227781
             61     0.60863687      3098.6179     -1783.1053      1315.5126      4.1314906     0.57521605      1.0980489    0.044589996
             71     0.70841340      2584.0106     -1268.4190      1315.5915      3.4453474     0.47968623      1.0980489    0.048535438
             81     0.80818994      2282.2258     -966.64325      1315.5825      3.0429677     0.42366401      1.0980489    0.051049767
             91     0.90796647      2186.2846     -870.74707      1315.5376      2.9150462     0.40585385      1.0980489    0.052358966
            101      1.0077430      2221.0785     -905.58252      1315.4959      2.9614379     0.41231285      1.0980489    0.052793924
            111      1.1075195      2309.4740     -994.00576      1315.4683      3.0792987     0.42872227      1.0980489    0.052667298
            121      1.2072961      2396.6473     -1081.1895      1315.4578      3.1955297     0.44490479      1.0980489    0.052216269
            131      1.3070726      2457.5865     -1142.1244      1315.4621      3.2767820     0.45621733      1.0980489    0.051592835
            141      1.4068492      2492.8538     -1177.3818      1315.4719      3.3238050     0.46276421      1.0980489    0.050880648
            151      1.5066257      2514.5717     -1199.0922      1315.4795      3.3527623     0.46679585      1.0980489    0.050121781
            161      1.6064022      2532.7061     -1217.2260      1315.4801      3.3769415     0.47016226      1.0980489    0.049339500
            171      1.7061788      2549.1005     -1233.6216      1315.4789      3.3988006     0.47320565      1.0980489    0.048550215
            181      1.8059553      2562.4774     -1246.9973      1315.4801      3.4166365     0.47568889      1.0980489    0.047766022
            191      1.9057318      2573.8919     -1258.4119      1315.4800      3.4318559     0.47780784      1.0980489    0.046994846
            201      2.0055084      2582.7704     -1267.2928      1315.4776      3.4436938     0.47945600      1.0980489    0.046242018
            211      2.1052849      2585.7836     -1270.3076      1315.4760      3.4477114     0.48001536      1.0980489    0.045510624
            221      2.2050614      2581.1006     -1265.6269      1315.4737      3.4414674     0.47914603      1.0980489    0.044800450
            231      2.3048380      2567.1959     -1251.7270      1315.4689      3.4229278     0.47656481      1.0980489    0.044107962
            241      2.4046145      2542.0577     -1226.5833      1315.4743      3.3894103     0.47189825      1.0980489    0.043426438
            251      2.5043910      2516.4715     -1200.9873      1315.4841      3.3552953     0.46714852      1.0980489    0.042746039
            261      2.6041676      2502.5231     -1187.0502      1315.4729      3.3366975     0.46455919      1.0980489    0.042059195
            271      2.7039441      2486.9576     -1171.4890      1315.4686      3.3159435     0.46166967      1.0980489    0.041364968
            281      2.8037206      2461.9342     -1146.4575      1315.4766      3.2825789     0.45702441      1.0980489    0.040663025
            291      2.9034972      2437.2134     -1121.7287      1315.4847      3.2496178     0.45243534      1.0980489    0.039950039
            301      3.0032737      2423.9229     -1108.4360      1315.4869      3.2318972     0.44996815      1.0980489    0.039223085
            311      3.1030503      2425.7387     -1110.2527      1315.4860      3.2343183     0.45030522      1.0980489    0.038482907
            321      3.2028268      2441.1490     -1125.6635      1315.4855      3.2548654     0.45316594      1.0980489    0.037734040
            331      3.3026033      2468.1370     -1152.6525      1315.4845      3.2908493     0.45817588      1.0980489    0.036983268
            341      3.4023799      2503.2044     -1187.7241      1315.4804      3.3376059     0.46468568      1.0980489    0.036238400
            351      3.5021564      2539.2851     -1223.8093      1315.4758      3.3857134     0.47138355      1.0980489    0.035507261
            361      3.6019329      2569.0835     -1253.6080      1315.4754      3.4254446     0.47691522      1.0980489    0.034796267
            371      3.7017095      2590.4420     -1274.9649      1315.4772      3.4539227     0.48088014      1.0980489    0.034109283
            381      3.8014860      2604.4439     -1288.9660      1315.4778      3.4725918     0.48347939      1.0980489    0.033447867
            391      3.9012625      2610.3063     -1294.8295      1315.4768      3.4804084     0.48456767      1.0980489    0.032812152
            401      4.0010391      2605.9191     -1290.4397      1315.4793      3.4745587     0.48375324      1.0980489    0.032201088
            411      4.1008156      2594.1431     -1278.6563      1315.4868      3.4588575     0.48156720      1.0980489    0.031612243
            421      4.2005921      2584.3749     -1268.8834      1315.4916      3.4458333     0.47975387      1.0980489    0.031042560
            431      4.3003687      2582.8875     -1267.3987      1315.4888      3.4438501     0.47947776      1.0980489    0.030490213
            441      4.4001452      2586.6147     -1271.1293      1315.4854      3.4488196     0.48016965      1.0980489    0.029955360
            451      4.4999218      2592.3312     -1276.8415      1315.4897      3.4564416     0.48123084      1.0980489    0.029438767
            461      4.5996983      2606.4412     -1290.9445      1315.4968      3.4752550     0.48385018      1.0980489    0.028940859
            471      4.6994748      2637.0510     -1321.5586      1315.4924      3.5160680     0.48953247      1.0980489    0.028463265
            481      4.7992514      2676.8919     -1361.4143      1315.4776      3.5691892     0.49692837      1.0980489    0.028010654
            491      4.8990279      2704.3623     -1388.8964      1315.4658      3.6058163     0.50202787      1.0980489    0.027589168
            501      4.9988044      2701.7249     -1386.2602      1315.4648      3.6022999     0.50153829      1.0980489    0.027202103
            511      5.0985810      2667.4970     -1352.0219      1315.4751      3.5566627     0.49518434      1.0980489    0.026846839
            521      5.1983575      2616.8298     -1301.3411      1315.4887      3.4891064     0.48577867      1.0980489    0.026515292
            531      5.2981340      2570.9732     -1255.4772      1315.4960      3.4279643     0.47726602      1.0980489    0.026197441
            541      5.3979106      2543.3281     -1227.8314      1315.4967      3.3911041     0.47213409      1.0980489    0.025885361
            551      5.4976871      2535.8576     -1220.3649      1315.4927      3.3811435     0.47074729      1.0980489    0.025575186
            561      5.5974636      2542.0845     -1226.5982      1315.4863      3.3894460     0.47190323      1.0980489    0.025266759
            571      5.6972402      2551.8494     -1236.3686      1315.4808      3.4024659     0.47371595      1.0980489    0.024961994
            581      5.7970167      2556.7639     -1241.2848      1315.4791      3.4090185     0.47462825      1.0980489    0.024662914
            591      5.8967933      2553.9652     -1238.4855      1315.4797      3.4052869     0.47410871      1.0980489    0.024370309
            601      5.9965698      2545.2518     -1229.7691      1315.4827      3.3936690     0.47249119      1.0980489    0.024083519
            611      6.0963463      2537.8944     -1222.4008      1315.4936      3.3838592     0.47112540      1.0980489    0.023800926
            621      6.1961229      2549.3333     -1233.8288      1315.5045      3.3991110     0.47324886      1.0980489    0.023521149
            631      6.2958994      2591.8697     -1276.3786      1315.4911      3.4558263     0.48114517      1.0980489    0.023245631
            641      6.3956759      2645.7860     -1330.3119      1315.4741      3.5277146     0.49115399      1.0980489    0.022980139
            651      6.4954525      2683.0499     -1367.5813      1315.4686      3.5773999     0.49807152      1.0980489    0.022731533
            661      6.5952290      2690.4098     -1374.9416      1315.4682      3.5872131     0.49943779      1.0980489    0.022503693
            671      6.6950055      2666.4013     -1350.9275      1315.4737      3.5552017     0.49498093      1.0980489    0.022296169
            681      6.7947821      2620.2678     -1304.7838      1315.4840      3.4936905     0.48641690      1.0980489    0.022104595
            691      6.8945586      2569.2305     -1253.7356      1315.4949      3.4256406     0.47694251      1.0980489    0.021922269
            701      6.9943351      2531.8720     -1216.3680      1315.5040      3.3758294     0.47000742      1.0980489    0.021742500
            711      7.0941117      2524.4998     -1208.9884      1315.5113      3.3659997     0.46863886      1.0980489    0.021560946
            721      7.1938882      2556.3340     -1240.8337      1315.5003      3.4084454     0.47454846      1.0980489    0.021377605
            731      7.2936648      2611.1182     -1295.6387      1315.4795      3.4814910     0.48471840      1.0980489    0.021197704
            741      7.3934413      2657.7647     -1342.2898      1315.4749      3.5436863     0.49337768      1.0980489    0.021028854
            751      7.4932178      2684.8386     -1369.3571      1315.4815      3.5797848     0.49840358      1.0980489    0.020876471
            761      7.5929944      2698.5371     -1383.0515      1315.4856      3.5980495     0.50094652      1.0980489    0.020742555
            771      7.6927709      2704.1285     -1388.6441      1315.4844      3.6055047     0.50198448      1.0980489    0.020627189
