     Time step:          Time:            Ek:            Ep:            Et:          Temp:          T/Ti:       Density:     Diffusion:
              1   0.0099776536      5634.1630     -3731.7567      1902.4063      7.5122174     0.93695685      1.0979885  0.00093822270
             11     0.10975419      5579.6504     -3677.2529      1902.3976      7.4395339     0.92789145      1.0980489    0.010287391
             21     0.20953072      5424.6384     -3522.2659      1902.3725      7.2328512     0.90211307      1.0980489    0.019463960
             31     0.30930726      5142.3091     -3239.9753      1902.3338      6.8564121     0.85516194      1.0980489    0.028276014
             41     0.40908380      4695.8090     -2793.5062      1902.3028      6.2610787     0.78090933      1.0980489    0.036461786
             51     0.50886033      4077.4272     -2175.0823      1902.3448      5.4365696     0.67807292      1.0980489    0.043666201
             61     0.60863687      3391.9742     -1489.4959      1902.4783      4.5226322     0.56408262      1.0980489    0.049487502
             71     0.70841340      2849.6165     -947.06511      1902.5514      3.7994887     0.47388897      1.0980489    0.053657591
             81     0.80818994      2568.9842     -666.46408      1902.5201      3.4253123     0.42722004      1.0980489    0.056223934
             91     0.90796647      2508.6673     -606.20306      1902.4643      3.3448898     0.41718940      1.0980489    0.057502075
            101      1.0077430      2571.1646     -668.74627      1902.4183      3.4282194     0.42758263      1.0980489    0.057888595
            111      1.1075195      2669.9964     -767.60423      1902.3922      3.5599952     0.44401830      1.0980489    0.057727796
            121      1.2072961      2751.5932     -849.20418      1902.3890      3.6687910     0.45758778      1.0980489    0.057261997
            131      1.3070726      2800.6498     -898.24946      1902.4003      3.7341997     0.46574584      1.0980489    0.056634061
            141      1.4068492      2827.8356     -925.42376      1902.4118      3.7704474     0.47026682      1.0980489    0.055917009
            151      1.5066257      2848.8344     -946.41804      1902.4164      3.7984459     0.47375891      1.0980489    0.055148346
            161      1.6064022      2869.9851     -967.57106      1902.4141      3.8266469     0.47727626      1.0980489    0.054352887
            171      1.7061788      2888.5147     -986.10097      1902.4138      3.8513530     0.48035771      1.0980489    0.053550268
            181      1.8059553      2903.6621     -1001.2469      1902.4152      3.8715495     0.48287671      1.0980489    0.052754405
            191      1.9057318      2916.4943     -1014.0819      1902.4124      3.8886590     0.48501069      1.0980489    0.051974528
            201      2.0055084      2923.5308     -1021.1208      1902.4100      3.8980411     0.48618086      1.0980489    0.051216950
            211      2.1052849      2921.2599     -1018.8508      1902.4091      3.8950132     0.48580321      1.0980489    0.050483939
            221      2.2050614      2908.6838     -1006.2795      1902.4043      3.8782451     0.48371182      1.0980489    0.049772922
            231      2.3048380      2882.3778     -979.97342      1902.4044      3.8431704     0.47933715      1.0980489    0.049077177
            241      2.4046145      2849.3489     -946.92686      1902.4221      3.7991319     0.47384447      1.0980489    0.048385529
            251      2.5043910      2831.8612     -929.44914      1902.4121      3.7758150     0.47093628      1.0980489    0.047687197
            261      2.6041676      2818.9222     -916.52262      1902.3996      3.7585629     0.46878453      1.0980489    0.046980918
            271      2.7039441      2792.1284     -889.72102      1902.4074      3.7228379     0.46432875      1.0980489    0.046269156
            281      2.8037206      2759.4866     -857.06807      1902.4185      3.6793155     0.45890044      1.0980489    0.045549582
            291      2.9034972      2736.9713     -834.54722      1902.4240      3.6492950     0.45515616      1.0980489    0.044817816
            301      3.0032737      2732.4786     -830.05636      1902.4223      3.6433048     0.45440903      1.0980489    0.044072891
            311      3.1030503      2743.9376     -841.51673      1902.4208      3.6585834     0.45631465      1.0980489    0.043318769
            321      3.2028268      2768.0961     -865.67564      1902.4205      3.6907948     0.46033219      1.0980489    0.042562311
            331      3.3026033      2801.7493     -899.33277      1902.4165      3.7356657     0.46592868      1.0980489    0.041811381
            341      3.4023799      2837.7478     -935.33624      1902.4115      3.7836637     0.47191521      1.0980489    0.041073812
            351      3.5021564      2868.2407     -965.82849      1902.4122      3.8243209     0.47698616      1.0980489    0.040356051
            361      3.6019329      2891.6162     -989.20187      1902.4143      3.8554883     0.48087349      1.0980489    0.039662090
            371      3.7017095      2908.5708     -1006.1576      1902.4132      3.8780943     0.48369302      1.0980489    0.038993982
            381      3.8014860      2916.2865     -1013.8753      1902.4112      3.8883821     0.48497615      1.0980489    0.038352655
            391      3.9012625      2911.0770     -1008.6619      1902.4150      3.8814360     0.48410980      1.0980489    0.037737726
            401      4.0010391      2897.9171     -995.49121      1902.4259      3.8638895     0.48192132      1.0980489    0.037147043
            411      4.1008156      2890.8436     -988.41239      1902.4312      3.8544581     0.48074500      1.0980489    0.036577893
            421      4.2005921      2896.4257     -994.00151      1902.4242      3.8619009     0.48167330      1.0980489    0.036029626
            431      4.3003687      2906.2721     -1003.8535      1902.4186      3.8750294     0.48331075      1.0980489    0.035504112
            441      4.4001452      2913.5757     -1011.1518      1902.4239      3.8847676     0.48452534      1.0980489    0.035003127
            451      4.4999218      2925.8267     -1023.3942      1902.4325      3.9011023     0.48656266      1.0980489    0.034526912
            461      4.5996983      2953.0580     -1050.6309      1902.4271      3.9374107     0.49109121      1.0980489    0.034076327
            471      4.6994748      2987.5875     -1085.1758      1902.4117      3.9834500     0.49683344      1.0980489    0.033655239
            481      4.7992514      3006.6143     -1104.2142      1902.4001      4.0088191     0.49999758      1.0980489    0.033268720
            491      4.8990279      2993.6135     -1091.2121      1902.4013      3.9914846     0.49783555      1.0980489    0.032918315
            501      4.9988044      2950.3282     -1047.9146      1902.4136      3.9337709     0.49063724      1.0980489    0.032599228
            511      5.0985810      2896.6429     -994.21290      1902.4300      3.8621905     0.48170942      1.0980489    0.032301615
            521      5.1983575      2857.9840     -955.54678      1902.4372      3.8106453     0.47528048      1.0980489    0.032015168
            531      5.2981340      2846.1262     -943.69615      1902.4301      3.7948350     0.47330854      1.0980489    0.031733893
            541      5.3979106      2851.2823     -948.86633      1902.4160      3.8017098     0.47416600      1.0980489    0.031457563
            551      5.4976871      2853.2622     -950.85274      1902.4095      3.8043496     0.47449525      1.0980489    0.031189011
            561      5.5974636      2841.4346     -939.02131      1902.4133      3.7885794     0.47252832      1.0980489    0.030929951
            571      5.6972402      2821.1010     -918.67946      1902.4216      3.7614680     0.46914687      1.0980489    0.030679158
            581      5.7970167      2805.1169     -902.68974      1902.4272      3.7401559     0.46648872      1.0980489    0.030433717
            591      5.8967933      2802.8387     -900.41032      1902.4284      3.7371183     0.46610986      1.0980489    0.030191385
            601      5.9965698      2816.5655     -914.14061      1902.4249      3.7554207     0.46839261      1.0980489    0.029952239
            611      6.0963463      2840.7043     -938.28464      1902.4197      3.7876057     0.47240688      1.0980489    0.029719078
            621      6.1961229      2867.0321     -964.61229      1902.4198      3.8227095     0.47678517      1.0980489    0.029496428
            631      6.2958994      2892.1422     -989.72556      1902.4166      3.8561896     0.48096096      1.0980489    0.029288946
            641      6.3956759      2907.9073     -1005.5014      1902.4059      3.8772097     0.48358268      1.0980489    0.029100429
            651      6.4954525      2899.1370     -996.73191      1902.4051      3.8655160     0.48212419      1.0980489    0.028932343
            661      6.5952290      2864.3770     -961.95932      1902.4177      3.8191693     0.47634363      1.0980489    0.028782011
            671      6.6950055      2822.2609     -919.83048      1902.4304      3.7630146     0.46933976      1.0980489    0.028643143
            681      6.7947821      2794.4927     -892.05896      1902.4337      3.7259902     0.46472192      1.0980489    0.028508930
            691      6.8945586      2790.3368     -887.90804      1902.4288      3.7204491     0.46403081      1.0980489    0.028374999
            701      6.9943351      2808.1432     -905.71309      1902.4301      3.7441909     0.46699199      1.0980489    0.028240262
            711      7.0941117      2851.7010     -949.26904      1902.4319      3.8022680     0.47423562      1.0980489    0.028106336
            721      7.1938882      2919.3580     -1016.9457      1902.4123      3.8924773     0.48548693      1.0980489    0.027977844
            731      7.2936648      2984.1880     -1081.7826      1902.4054      3.9789173     0.49626810      1.0980489    0.027861766
            741      7.3934413      3031.0576     -1128.6437      1902.4139      4.0414102     0.50406249      1.0980489    0.027763758
            751      7.4932178      3065.8701     -1163.4556      1902.4145      4.0878268     0.50985178      1.0980489    0.027686777
            761      7.5929944      3087.1313     -1184.7262      1902.4051      4.1161751     0.51338750      1.0980489    0.027632748
            771      7.6927709      3081.0834     -1178.6839      1902.3996      4.1081112     0.51238174      1.0980489    0.027602749
            781      7.7925474      3041.0199     -1138.6131      1902.4067      4.0546931     0.50571920      1.0980489    0.027595230
