     Time step:          Time:            Ek:            Ep:            Et:          Temp:          T/Ti:       Density:     Diffusion:
              1   0.0099776536      1408.5408     -3732.0915     -2323.5508      1.8780544     0.93695686      1.0979885  0.00023455567
             11     0.10975419      1395.1403     -3718.6913     -2323.5510      1.8601871     0.92804291      1.0980489   0.0025719280
             21     0.20953072      1359.2443     -3682.7961     -2323.5517      1.8123258     0.90416503      1.0980489   0.0048681392
             31     0.30930726      1300.5333     -3624.0857     -2323.5524      1.7340444     0.86511062      1.0980489   0.0070846800
             41     0.40908380      1218.9536     -3542.5061     -2323.5526      1.6252714     0.81084406      1.0980489   0.0091812716
             51     0.50886033      1115.4701     -3439.0222     -2323.5520      1.4872935     0.74200720      1.0980489    0.011115673
             61     0.60863687      993.35133     -3316.9000     -2323.5487      1.3244684     0.66077416      1.0980489    0.012844673
             71     0.70841340      859.60178     -3183.1439     -2323.5421      1.1461357     0.57180438      1.0980489    0.014326943
             81     0.80818994      725.57665     -3049.1103     -2323.5336     0.96743554     0.48265129      1.0980489    0.015528109
             91     0.90796647      605.47870     -2929.0041     -2323.5255     0.80730493     0.40276251      1.0980489    0.016427315
            101      1.0077430      512.35742     -2835.8782     -2323.5208     0.68314323     0.34081853      1.0980489    0.017022962
            111      1.1075195      453.65581     -2777.1766     -2323.5208     0.60487442     0.30177041      1.0980489    0.017334610
            121      1.2072961      429.39836     -2752.9229     -2323.5245     0.57253115     0.28563443      1.0980489    0.017399568
            131      1.3070726      433.73349     -2757.2633     -2323.5298     0.57831132     0.28851815      1.0980489    0.017265723
            141      1.4068492      457.98801     -2781.5230     -2323.5350     0.61065068     0.30465218      1.0980489    0.016983642
            151      1.5066257      493.30568     -2816.8448     -2323.5392     0.65774091     0.32814538      1.0980489    0.016600349
            161      1.6064022      532.18968     -2855.7318     -2323.5421     0.70958625     0.35401089      1.0980489    0.016155615
            171      1.7061788      569.13525     -2892.6791     -2323.5439     0.75884700     0.37858697      1.0980489    0.015680454
            181      1.8059553      600.68490     -2924.2294     -2323.5445     0.80091320     0.39957370      1.0980489    0.015197210
            191      1.9057318      625.19681     -2948.7413     -2323.5445     0.83359575     0.41587894      1.0980489    0.014720571
            201      2.0055084      642.44166     -2965.9856     -2323.5439     0.85658889     0.42735016      1.0980489    0.014259031
            211      2.1052849      653.16598     -2976.7089     -2323.5430     0.87088798     0.43448394      1.0980489    0.013816468
            221      2.2050614      658.68290     -2982.2250     -2323.5421     0.87824387     0.43815378      1.0980489    0.013393617
            231      2.3048380      660.51152     -2984.0528     -2323.5413     0.88068202     0.43937017      1.0980489    0.012989291
            241      2.4046145      660.11516     -2983.6559     -2323.5407     0.88015355     0.43910652      1.0980489    0.012601360
            251      2.5043910      658.70478     -2982.2448     -2323.5400     0.87827305     0.43816834      1.0980489    0.012227428
            261      2.6041676      657.09556     -2980.6356     -2323.5400     0.87612741     0.43709788      1.0980489    0.011865251
            271      2.7039441      655.68178     -2979.2219     -2323.5401     0.87424237     0.43615745      1.0980489    0.011512940
            281      2.8037206      654.52285     -2978.0631     -2323.5402     0.87269714     0.43538653      1.0980489    0.011168963
            291      2.9034972      653.60084     -2977.1409     -2323.5400     0.87146779     0.43477321      1.0980489    0.010832056
            301      3.0032737      653.05854     -2976.5983     -2323.5398     0.87074471     0.43441247      1.0980489    0.010501123
            311      3.1030503      653.32690     -2976.8663     -2323.5394     0.87110253     0.43459098      1.0980489    0.010175223
            321      3.2028268      655.10799     -2978.6469     -2323.5389     0.87347732     0.43577576      1.0980489   0.0098536609
            331      3.3026033      659.14449     -2982.6832     -2323.5387     0.87885933     0.43846083      1.0980489   0.0095361647
            341      3.4023799      665.81720     -2989.3560     -2323.5388     0.88775627     0.44289950      1.0980489   0.0092230592
            351      3.5021564      674.78373     -2998.3233     -2323.5396     0.89971164     0.44886400      1.0980489   0.0089153095
            361      3.6019329      685.02772     -3008.5681     -2323.5403     0.91337030     0.45567827      1.0980489   0.0086143567
            371      3.7017095      695.30663     -3018.8476     -2323.5409     0.92707551     0.46251577      1.0980489   0.0083217875
            381      3.8014860      704.67037     -3028.2115     -2323.5412     0.93956050     0.46874450      1.0980489   0.0080389987
            391      3.9012625      712.71185     -3036.2528     -2323.5410     0.95028247     0.47409367      1.0980489   0.0077669921
            401      4.0010391      719.51749     -3043.0582     -2323.5407     0.95935665     0.47862076      1.0980489   0.0075063471
            411      4.1008156      725.46256     -3049.0030     -2323.5405     0.96728342     0.48257540      1.0980489   0.0072573161
            421      4.2005921      730.91182     -3054.4522     -2323.5403     0.97454909     0.48620023      1.0980489   0.0070199715
            431      4.3003687      735.96983     -3059.5100     -2323.5402     0.98129311     0.48956480      1.0980489   0.0067943235
            441      4.4001452      740.36171     -3063.9022     -2323.5405     0.98714895     0.49248627      1.0980489   0.0065803599
            451      4.4999218      743.55143     -3067.0925     -2323.5411     0.99140191     0.49460806      1.0980489   0.0063779889
            461      4.5996983      744.98893     -3068.5302     -2323.5413     0.99331857     0.49556428      1.0980489   0.0061869302
            471      4.6994748      744.45275     -3067.9937     -2323.5410     0.99260366     0.49520761      1.0980489   0.0060066142
            481      4.7992514      742.27607     -3065.8164     -2323.5404     0.98970142     0.49375969      1.0980489   0.0058361562
            491      4.8990279      739.32723     -3062.8671     -2323.5398     0.98576963     0.49179813      1.0980489   0.0056744476
            501      4.9988044      736.73767     -3060.2768     -2323.5392     0.98231689     0.49007556      1.0980489   0.0055203394
            511      5.0985810      735.52397     -3059.0626     -2323.5386     0.98069863     0.48926822      1.0980489   0.0053728515
            521      5.1983575      736.31138     -3059.8499     -2323.5385     0.98174850     0.48979200      1.0980489   0.0052313332
            531      5.2981340      739.21616     -3062.7548     -2323.5386     0.98562155     0.49172425      1.0980489   0.0050955333
            541      5.3979106      743.88216     -3067.4212     -2323.5391     0.99184288     0.49482806      1.0980489   0.0049655730
            551      5.4976871      749.61431     -3073.1539     -2323.5396     0.99948575     0.49864107      1.0980489   0.0048418453
            561      5.5974636      755.58683     -3079.1268     -2323.5399      1.0074491     0.50261397      1.0980489   0.0047248702
