     Time step:          Time:            Ek:            Ep:            Et:          Temp:          T/Ti:       Density:     Diffusion:
              1   0.0099776536      1173.7840     -3732.1101     -2558.3261      1.5650453     0.93695686      1.0979885  0.00019546306
             11     0.10975419      1162.6270     -3720.9532     -2558.3263      1.5501693     0.92805093      1.0980489   0.0021432769
             21     0.20953072      1132.8400     -3691.1665     -2558.3265      1.5104533     0.90427387      1.0980489   0.0040568783
             31     0.30930726      1084.4033     -3642.7301     -2558.3268      1.4458710     0.86560993      1.0980489   0.0059045714
             41     0.40908380      1017.6243     -3575.9509     -2558.3265      1.3568324     0.81230458      1.0980489   0.0076537543
             51     0.50886033      933.59284     -3491.9186     -2558.3258      1.2447905     0.74522760      1.0980489   0.0092709623
             61     0.60863687      834.97845     -3393.3020     -2558.3235      1.1133046     0.66651003      1.0980489    0.010722639
             71     0.70841340      726.85604     -3285.1747     -2558.3187     0.96914138     0.58020280      1.0980489    0.011977042
             81     0.80818994      617.13286     -3175.4454     -2558.3125     0.82284381     0.49261779      1.0980489    0.013007477
             91     0.90796647      515.81586     -3074.1224     -2558.3065     0.68775447     0.41174289      1.0980489    0.013796450
            101      1.0077430      432.82341     -2991.1256     -2558.3022     0.57709789     0.34549532      1.0980489    0.014339595
            111      1.1075195      375.12070     -2933.4216     -2558.3009     0.50016093     0.29943492      1.0980489    0.014647621
            121      1.2072961      344.83279     -2903.1354     -2558.3027     0.45977706     0.27525802      1.0980489    0.014745112
            131      1.3070726      339.39241     -2897.6985     -2558.3061     0.45252321     0.27091531      1.0980489    0.014666437
            141      1.4068492      353.19966     -2911.5097     -2558.3101     0.47093288     0.28193675      1.0980489    0.014450395
            151      1.5066257      379.56734     -2937.8811     -2558.3138     0.50608978     0.30298439      1.0980489    0.014135289
            161      1.6064022      412.17672     -2970.4935     -2558.3168     0.54956895     0.32901438      1.0980489    0.013755402
            171      1.7061788      445.87117     -3004.1899     -2558.3188     0.59449489     0.35591051      1.0980489    0.013339075
            181      1.8059553      476.94183     -3035.2616     -2558.3198     0.63592244     0.38071224      1.0980489    0.012908090
            191      1.9057318      503.09811     -3061.4183     -2558.3202     0.67079749     0.40159113      1.0980489    0.012477948
            201      2.0055084      523.28739     -3081.6073     -2558.3199     0.69771652     0.41770694      1.0980489    0.012058682
            211      2.1052849      537.42520     -3095.7446     -2558.3194     0.71656693     0.42899225      1.0980489    0.011655905
            221      2.2050614      546.12072     -3104.4394     -2558.3186     0.72816096     0.43593333      1.0980489    0.011271911
            231      2.3048380      550.40639     -3108.7241     -2558.3178     0.73387518     0.43935431      1.0980489    0.010906698
            241      2.4046145      551.48937     -3109.8065     -2558.3171     0.73531917     0.44021878      1.0980489    0.010558849
            251      2.5043910      550.56912     -3108.8856     -2558.3164     0.73409216     0.43948420      1.0980489    0.010226239
            261      2.6041676      548.67949     -3106.9953     -2558.3158     0.73157266     0.43797584      1.0980489   0.0099065471
            271      2.7039441      546.57813     -3104.8937     -2558.3156     0.72877084     0.43629845      1.0980489   0.0095975978
            281      2.8037206      544.71883     -3103.0345     -2558.3157     0.72629177     0.43481429      1.0980489   0.0092975306
