     Time step:          Time:            Ek:            Ep:            Et:          Temp:          T/Ti:       Density:     Diffusion:
              1   0.0099776536      1525.9192     -3732.0822     -2206.1631      2.0345589     0.93695686      1.0979885  0.00025410198
             11     0.10975419      1511.3954     -3717.5588     -2206.1634      2.0151939     0.92803886      1.0980489   0.0027862531
             21     0.20953072      1472.4258     -3678.5900     -2206.1642      1.9632344     0.90411044      1.0980489   0.0052737550
             31     0.30930726      1408.5014     -3614.6666     -2206.1652      1.8780019     0.86485911      1.0980489   0.0076746317
             41     0.40908380      1319.3288     -3525.4943     -2206.1655      1.7591051     0.81010462      1.0980489   0.0099446077
             51     0.50886033      1205.7693     -3411.9342     -2206.1649      1.6076924     0.74037593      1.0980489    0.012036772
             61     0.60863687      1071.4290     -3277.5899     -2206.1610      1.4285719     0.65788722      1.0980489    0.013902685
             71     0.70841340      924.46740     -3130.6206     -2206.1532      1.2326232     0.56764873      1.0980489    0.015495828
             81     0.80818994      778.30920     -2984.4522     -2206.1430      1.0377456     0.47790352      1.0980489    0.016777833
             91     0.90796647      649.53014     -2855.6639     -2206.1337     0.86604019     0.39882959      1.0980489    0.017726507
            101      1.0077430      552.64925     -2758.7784     -2206.1291     0.73686567     0.33934203      1.0980489    0.018342548
            111      1.1075195      494.88554     -2701.0157     -2206.1302     0.65984739     0.30387350      1.0980489    0.018651070
            121      1.2072961      474.72385     -2680.8590     -2206.1352     0.63296514     0.29149367      1.0980489    0.018696637
            131      1.3070726      484.42002     -2690.5613     -2206.1413     0.64589337     0.29744739      1.0980489    0.018534244
            141      1.4068492      513.77839     -2719.9254     -2206.1470     0.68503785     0.31547424      1.0980489    0.018220175
            151      1.5066257      553.00554     -2759.1569     -2206.1514     0.73734072     0.33956080      1.0980489    0.017805335
            161      1.6064022      594.20885     -2800.3630     -2206.1541     0.79227847     0.36486078      1.0980489    0.017331633
            171      1.7061788      631.89568     -2838.0513     -2206.1556     0.84252758     0.38800155      1.0980489    0.016830842
            181      1.8059553      662.90221     -2869.0581     -2206.1559     0.88386962     0.40704042      1.0980489    0.016325114
            191      1.9057318      686.03427     -2892.1897     -2206.1555     0.91471236     0.42124415      1.0980489    0.015828406
