     Time step:          Time:            Ek:            Ep:            Et:          Temp:          T/Ti:       Density:     Diffusion:
              1   0.0099776536      1584.6084     -3732.0776     -2147.4692      2.1128112     0.93695686      1.0979885  0.00026387513
             11     0.10975419      1569.5226     -3716.9921     -2147.4696      2.0926967     0.92803684      1.0980489   0.0028934154
             21     0.20953072      1529.0112     -3676.4817     -2147.4705      2.0386816     0.90408303      1.0980489   0.0054765593
             31     0.30930726      1462.4609     -3609.9325     -2147.4716      1.9499479     0.86473278      1.0980489   0.0079695810
             41     0.40908380      1369.4433     -3516.9156     -2147.4723      1.8259244     0.80973275      1.0980489    0.010326168
             51     0.50886033      1250.7568     -3398.2282     -2147.4714      1.6676758     0.73955511      1.0980489    0.012497001
             61     0.60863687      1110.1901     -3257.6571     -2147.4671      1.4802534     0.65643994      1.0980489    0.014430927
             71     0.70841340      956.53272     -3103.9918     -2147.4591      1.2753770     0.56558448      1.0980489    0.016078732
             81     0.80818994      804.33628     -2951.7845     -2147.4483      1.0724484     0.47559284      1.0980489    0.017400025
             91     0.90796647      671.42391     -2818.8628     -2147.4388     0.89523188     0.39700361      1.0980489    0.018372060
            101      1.0077430      572.99929     -2720.4340     -2147.4347     0.76399906     0.33880650      1.0980489    0.018996932
            111      1.1075195      516.03882     -2663.4751     -2147.4363     0.68805176     0.30512657      1.0980489    0.019302816
            121      1.2072961      498.14204     -2645.5838     -2147.4418     0.66418939     0.29454445      1.0980489    0.019338091
            131      1.3070726      510.58023     -2658.0286     -2147.4484     0.68077364     0.30189898      1.0980489    0.019161349
            141      1.4068492      542.41706     -2689.8713     -2147.4542     0.72322275     0.32072365      1.0980489    0.018831658
            151      1.5066257      583.43376     -2730.8924     -2147.4586     0.77791168     0.34497626      1.0980489    0.018401729
            161      1.6064022      625.58972     -2773.0511     -2147.4614     0.83411963     0.36990249      1.0980489    0.017914387
            171      1.7061788      663.44369     -2810.9063     -2147.4626     0.88459159     0.39228502      1.0980489    0.017401652
            181      1.8059553      694.01674     -2841.4797     -2147.4630     0.92535565     0.41036243      1.0980489    0.016885476
            191      1.9057318      716.36357     -2863.8260     -2147.4624     0.95515142     0.42357580      1.0980489    0.016379391
            201      2.0055084      730.97841     -2878.4398     -2147.4613     0.97463788     0.43221735      1.0980489    0.015890485
            211      2.1052849      739.22493     -2886.6851     -2147.4602     0.98563324     0.43709341      1.0980489    0.015421344
            221      2.2050614      742.83351     -2890.2925     -2147.4590     0.99044468     0.43922711      1.0980489    0.014971728
