     Time step:          Time:            Ek:            Ep:            Et:          Temp:          T/Ti:       Density:     Diffusion:
              1   0.0099776536      3286.5951     -3731.9427     -445.34762      4.3821268     0.93695686      1.0979885  0.00054729657
             11     0.10975419      3255.0950     -3700.4452     -445.35018      4.3401267     0.92797667      1.0980489   0.0060010837
             21     0.20953072      3168.4558     -3613.8129     -445.35717      4.2246077     0.90327718      1.0980489    0.011356805
             31     0.30930726      3019.8453     -3465.2129     -445.36766      4.0264604     0.86091065      1.0980489    0.016515325
             41     0.40908380      2800.3809     -3245.7575     -445.37653      3.7338412     0.79834480      1.0980489    0.021358830
             51     0.50886033      2506.5373     -2951.9111     -445.37374      3.3420498     0.71457459      1.0980489    0.025745176
             61     0.60863687      2155.2880     -2600.6346     -445.34652      2.8737174     0.61443891      1.0980489    0.029513876
             71     0.70841340      1798.6109     -2243.9118     -445.30089      2.3981479     0.51275583      1.0980489    0.032515807
             81     0.80818994      1509.2441     -1954.5151     -445.27108      2.0123254     0.43026187      1.0980489    0.034666702
             91     0.90796647      1334.4004     -1779.6743     -445.27389      1.7792005     0.38041667      1.0980489    0.035989780
            101      1.0077430      1272.0824     -1717.3767     -445.29432      1.6961098     0.36265078      1.0980489    0.036606733
            111      1.1075195      1289.8402     -1735.1561     -445.31585      1.7197870     0.36771328      1.0980489    0.036688022
            121      1.2072961      1349.7293     -1795.0616     -445.33226      1.7996391     0.38478672      1.0980489    0.036403627
            131      1.3070726      1420.8722     -1866.2142     -445.34195      1.8944963     0.40506844      1.0980489    0.035894573
            141      1.4068492      1483.6106     -1928.9553     -445.34465      1.9781475     0.42295419      1.0980489    0.035263267
            151      1.5066257      1529.5999     -1974.9427     -445.34280      2.0394665     0.43606501      1.0980489    0.034575592
            161      1.6064022      1559.0705     -2004.4094     -445.33898      2.0787606     0.44446660      1.0980489    0.033869050
            171      1.7061788      1576.6129     -2021.9484     -445.33547      2.1021506     0.44946769      1.0980489    0.033162556
            181      1.8059553      1587.2607     -2032.5941     -445.33339      2.1163476     0.45250319      1.0980489    0.032464807
            191      1.9057318      1594.3099     -2039.6423     -445.33240      2.1257466     0.45451282      1.0980489    0.031779716
            201      2.0055084      1599.5300     -2044.8617     -445.33169      2.1327067     0.45600099      1.0980489    0.031109038
            211      2.1052849      1604.1157     -2049.4473     -445.33157      2.1388210     0.45730830      1.0980489    0.030453473
            221      2.2050614      1608.2519     -2053.5842     -445.33231      2.1443358     0.45848746      1.0980489    0.029813339
            231      2.3048380      1610.7555     -2056.0890     -445.33351      2.1476740     0.45920120      1.0980489    0.029188693
            241      2.4046145      1610.2149     -2055.5494     -445.33449      2.1469533     0.45904709      1.0980489    0.028578891
            251      2.5043910      1605.7821     -2051.1171     -445.33496      2.1410428     0.45778337      1.0980489    0.027982190
            261      2.6041676      1597.0280     -2042.3626     -445.33466      2.1293706     0.45528770      1.0980489    0.027395687
