     Time step:          Time:            Ek:            Ep:            Et:          Temp:          T/Ti:       Density:     Diffusion:
              1   0.0099776536      3697.4195     -3731.9102     -34.490686      4.9298927     0.93695686      1.0979885  0.00061570865
             11     0.10975419      3661.9235     -3696.4175     -34.494064      4.8825646     0.92796187      1.0980489   0.0067511986
             21     0.20953072      3563.7278     -3598.2309     -34.503064      4.7516371     0.90307827      1.0980489    0.012775858
             31     0.30930726      3393.5122     -3428.0289     -34.516679      4.5246830     0.85994423      1.0980489    0.018575746
             41     0.40908380      3138.9296     -3173.4582     -34.528573      4.1852395     0.79543088      1.0980489    0.024011911
             51     0.50886033      2795.0222     -2829.5460     -34.523783      3.7266963     0.70828188      1.0980489    0.028912533
             61     0.60863687      2386.1755     -2420.6596     -34.484077      3.1815674     0.60467673      1.0980489    0.033081785
             71     0.70841340      1984.3560     -2018.7829     -34.426916      2.6458079     0.50285231      1.0980489    0.036343539
             81     0.80818994      1679.7197     -1714.1199     -34.400259      2.2396262     0.42565493      1.0980489    0.038615405
             91     0.90796647      1516.0977     -1550.5108     -34.413127      2.0214636     0.38419177      1.0980489    0.039955042
            101      1.0077430      1476.0402     -1510.4803     -34.440096      1.9680536     0.37404087      1.0980489    0.040530773
            111      1.1075195      1514.5784     -1549.0432     -34.464847      2.0194378     0.38380676      1.0980489    0.040551299
            121      1.2072961      1587.3410     -1621.8225     -34.481593      2.1164546     0.40224540      1.0980489    0.040209484
            131      1.3070726      1661.8577     -1696.3473     -34.489523      2.2158103     0.42112858      1.0980489    0.039655440
            141      1.4068492      1720.6410     -1755.1307     -34.489704      2.2941880     0.43602475      1.0980489    0.038991190
            151      1.5066257      1759.6400     -1794.1252     -34.485241      2.3461867     0.44590741      1.0980489    0.038277693
            161      1.6064022      1783.0993     -1817.5794     -34.480098      2.3774657     0.45185219      1.0980489    0.037547211
            171      1.7061788      1797.5906     -1832.0678     -34.477181      2.3967875     0.45552442      1.0980489    0.036815550
            181      1.8059553      1807.7215     -1842.1976     -34.476148      2.4102953     0.45809166      1.0980489    0.036090736
            191      1.9057318      1815.4000     -1849.8755     -34.475496      2.4205333     0.46003746      1.0980489    0.035377368
            201      2.0055084      1821.7675     -1856.2422     -34.474679      2.4290234     0.46165105      1.0980489    0.034678101
            211      2.1052849      1827.5285     -1862.0040     -34.475496      2.4367046     0.46311092      1.0980489    0.033994477
            221      2.2050614      1831.7156     -1866.1925     -34.476889      2.4422875     0.46417198      1.0980489    0.033327458
            231      2.3048380      1832.5342     -1867.0122     -34.478024      2.4433789     0.46437940      1.0980489    0.032677120
            241      2.4046145      1828.8422     -1863.3211     -34.478931      2.4384562     0.46344381      1.0980489    0.032042122
            251      2.5043910      1819.7164     -1854.1962     -34.479761      2.4262886     0.46113128      1.0980489    0.031419626
            261      2.6041676      1805.4412     -1839.9178     -34.476647      2.4072549     0.45751381      1.0980489    0.030805263
            271      2.7039441      1791.4939     -1825.9664     -34.472561      2.3886585     0.45397945      1.0980489    0.030193538
            281      2.8037206      1783.2560     -1817.7319     -34.475912      2.3776747     0.45189191      1.0980489    0.029580121
            291      2.9034972      1776.9223     -1811.4010     -34.478639      2.3692298     0.45028690      1.0980489    0.028963558
            301      3.0032737      1768.3061     -1802.7823     -34.476198      2.3577415     0.44810348      1.0980489    0.028343421
            311      3.1030503      1759.7843     -1794.2570     -34.472730      2.3463791     0.44594398      1.0980489    0.027718550
            321      3.2028268      1755.5824     -1790.0535     -34.471097      2.3407765     0.44487917      1.0980489    0.027087808
            331      3.3026033      1758.0835     -1792.5541     -34.470594      2.3441113     0.44551298      1.0980489    0.026451290
            341      3.4023799      1768.6581     -1803.1275     -34.469369      2.3582109     0.44819269      1.0980489    0.025810710
            351      3.5021564      1788.3837     -1822.8530     -34.469321      2.3845116     0.45319131      1.0980489    0.025169393
            361      3.6019329      1816.4742     -1850.9456     -34.471403      2.4219656     0.46030968      1.0980489    0.024532283
            371      3.7017095      1848.5746     -1883.0502     -34.475624      2.4647662     0.46844418      1.0980489    0.023905559
            381      3.8014860      1877.7986     -1912.2782     -34.479626      2.5037315     0.47584979      1.0980489    0.023295459
            391      3.9012625      1898.4894     -1932.9695     -34.480132      2.5313192     0.48109300      1.0980489    0.022706684
            401      4.0010391      1909.4603     -1943.9381     -34.477820      2.5459471     0.48387313      1.0980489    0.022141362
            411      4.1008156      1913.4242     -1947.8998     -34.475575      2.5512322     0.48487760      1.0980489    0.021599251
            421      4.2005921      1913.2721     -1947.7469     -34.474742      2.5510295     0.48483907      1.0980489    0.021078797
            431      4.3003687      1910.0887     -1944.5630     -34.474349      2.5467849     0.48403236      1.0980489    0.020578020
            441      4.4001452      1904.8558     -1939.3285     -34.472746      2.5398077     0.48270630      1.0980489    0.020094772
            451      4.4999218      1899.8876     -1934.3590     -34.471402      2.5331834     0.48144732      1.0980489    0.019626894
            461      4.5996983      1897.3096     -1931.7808     -34.471259      2.5297461     0.48079403      1.0980489    0.019172610
            471      4.6994748      1897.7565     -1932.2279     -34.471426      2.5303420     0.48090728      1.0980489    0.018730783
            481      4.7992514      1902.1176     -1936.5871     -34.469520      2.5361568     0.48201242      1.0980489    0.018300799
            491      4.8990279      1912.9826     -1947.4508     -34.468231      2.5506434     0.48476570      1.0980489    0.017882581
