     Time step:          Time:            Ek:            Ep:            Et:          Temp:          T/Ti:       Density:     Diffusion:
              1   0.0099776536      1878.0544     -3732.0543     -1854.0000      2.5040725     0.93695686      1.0979885  0.00031274090
             11     0.10975419      1860.1544     -3714.1550     -1854.0006      2.4802059     0.92802664      1.0980489   0.0034292259
             21     0.20953072      1811.8858     -3665.8879     -1854.0021      2.4158478     0.90394555      1.0980489   0.0064905437
             31     0.30930726      1732.0085     -3586.0132     -1854.0048      2.3093446     0.86409491      1.0980489   0.0094440674
             41     0.40908380      1619.2746     -3473.2813     -1854.0067      2.1590328     0.80785224      1.0980489    0.012232889
             51     0.50886033      1474.0575     -3328.0633     -1854.0057      1.9654100     0.73540380      1.0980489    0.014794905
             61     0.60863687      1301.2102     -3155.2099     -1853.9997      1.7349469     0.64917068      1.0980489    0.017064363
             71     0.70841340      1113.3110     -2967.2983     -1853.9873      1.4844146     0.55542820      1.0980489    0.018977649
             81     0.80818994      931.49759     -2785.4697     -1853.9721      1.2419968     0.46472194      1.0980489    0.020484155
             91     0.90796647      780.27938     -2634.2403     -1853.9609      1.0403725     0.38927953      1.0980489    0.021559806
            101      1.0077430      677.50423     -2531.4626     -1853.9583     0.90333898     0.33800525      1.0980489    0.022216377
            111      1.1075195      627.51826     -2481.4817     -1853.9634     0.83669101     0.31306737      1.0980489    0.022500046
            121      1.2072961      622.53971     -2476.5116     -1853.9719     0.83005295     0.31058359      1.0980489    0.022479735
            131      1.3070726      648.78124     -2502.7615     -1853.9803     0.86504165     0.32367542      1.0980489    0.022232004
            141      1.4068492      691.92407     -2545.9111     -1853.9870     0.92256543     0.34519928      1.0980489    0.021828821
            151      1.5066257      740.11297     -2594.1042     -1853.9912     0.98681730     0.36924061      1.0980489    0.021330469
            161      1.6064022      785.03795     -2639.0312     -1853.9933      1.0467173     0.39165357      1.0980489    0.020782918
            171      1.7061788      821.95625     -2675.9500     -1853.9938      1.0959417     0.41007202      1.0980489    0.020218199
            181      1.8059553      849.15785     -2703.1508     -1853.9930      1.1322105     0.42364284      1.0980489    0.019656473
            191      1.9057318      867.09483     -2721.0865     -1853.9916      1.1561264     0.43259155      1.0980489    0.019108782
            201      2.0055084      877.47343     -2731.4638     -1853.9903      1.1699646     0.43776941      1.0980489    0.018579852
            211      2.1052849      882.46539     -2736.4543     -1853.9890      1.1766205     0.44025989      1.0980489    0.018070501
            221      2.2050614      884.16032     -2738.1484     -1853.9881      1.1788804     0.44110548      1.0980489    0.017579465
            231      2.3048380      884.27723     -2738.2645     -1853.9873      1.1790363     0.44116381      1.0980489    0.017104642
            241      2.4046145      883.98066     -2737.9678     -1853.9871      1.1786409     0.44101585      1.0980489    0.016643868
            251      2.5043910      883.75526     -2737.7425     -1853.9873      1.1783403     0.44090340      1.0980489    0.016195298
