     Time step:          Time:            Ek:            Ep:            Et:          Temp:          T/Ti:       Density:     Diffusion:
              1   0.0099776536      4401.6899     -3731.8544      669.83548      5.8689198     0.93695686      1.0979885  0.00073298648
             11     0.10975419      4359.3131     -3689.4824      669.83074      5.8124175     0.92793641      1.0980489   0.0080370988
             21     0.20953072      4240.9096     -3571.0921      669.81749      5.6545461     0.90273269      1.0980489    0.015208227
             31     0.30930726      4031.9269     -3362.1296      669.79730      5.3759026     0.85824801      1.0980489    0.022105672
             41     0.40908380      3712.7004     -3042.9215      669.77896      4.9502672     0.79029650      1.0980489    0.028550395
             51     0.50886033      3276.0613     -2606.2698      669.79151      4.3680817     0.69735219      1.0980489    0.034312466
             61     0.60863687      2765.7070     -2095.8479      669.85904      3.6876093     0.58871665      1.0980489    0.039127932
             71     0.70841340      2297.1441     -1627.2116      669.93253      3.0628588     0.48897696      1.0980489    0.042777456
             81     0.80818994      1984.6807     -1314.7360      669.94472      2.6462409     0.42246506      1.0980489    0.045201392
             91     0.90796647      1852.3181     -1182.4042      669.91388      2.4697574     0.39428996      1.0980489    0.046536427
            101      1.0077430      1852.3271     -1182.4492      669.87788      2.4697694     0.39429187      1.0980489    0.047036061
            111      1.1075195      1921.0582     -1251.2076      669.85054      2.5614109     0.40892218      1.0980489    0.046968264
            121      1.2072961      2006.5908     -1336.7553      669.83551      2.6754544     0.42712892      1.0980489    0.046554935
            131      1.3070726      2077.7425     -1407.9100      669.83248      2.7703233     0.44227447      1.0980489    0.045951963
            141      1.4068492      2124.7318     -1454.8938      669.83797      2.8329757     0.45227675      1.0980489    0.045254009
            151      1.5066257      2152.4278     -1482.5827      669.84514      2.8699038     0.45817222      1.0980489    0.044511559
            161      1.6064022      2170.2423     -1500.3927      669.84961      2.8936565     0.46196427      1.0980489    0.043750013
            171      1.7061788      2184.3477     -1514.4980      669.84966      2.9124636     0.46496677      1.0980489    0.042983648
            181      1.8059553      2195.9671     -1526.1178      669.84931      2.9279561     0.46744011      1.0980489    0.042222120
            191      1.9057318      2205.4780     -1535.6278      669.85013      2.9406373     0.46946463      1.0980489    0.041471927
            201      2.0055084      2213.8235     -1543.9744      669.84916      2.9517647     0.47124109      1.0980489    0.040737162
            211      2.1052849      2219.7931     -1549.9458      669.84734      2.9597241     0.47251179      1.0980489    0.040020538
            221      2.2050614      2220.9371     -1551.0905      669.84659      2.9612494     0.47275530      1.0980489    0.039323149
            231      2.3048380      2215.9748     -1546.1297      669.84508      2.9546330     0.47169901      1.0980489    0.038643778
            241      2.4046145      2203.3978     -1533.5550      669.84279      2.9378637     0.46902184      1.0980489    0.037978960
