     Time step:          Time:            Ek:            Ep:            Et:          Temp:          T/Ti:       Density:     Diffusion:
              1   0.0099776536      2817.0815     -3731.9799     -914.89840      3.7561087     0.93695686      1.0979885  0.00046911135
             11     0.10975419      2790.1320     -3705.0321     -914.90017      3.7201760     0.92799348      1.0980489   0.0051438038
             21     0.20953072      2716.4960     -3631.4004     -914.90439      3.6219947     0.90350228      1.0980489   0.0097348779
             31     0.30930726      2591.6978     -3506.6093     -914.91146      3.4555971     0.86199459      1.0980489    0.014159420
             41     0.40908380      2410.1104     -3325.0278     -914.91735      3.2134806     0.80159892      1.0980489    0.018321849
             51     0.50886033      2169.7706     -3084.6863     -914.91569      2.8930275     0.72166228      1.0980489    0.022110308
             61     0.60863687      1881.7833     -2796.6814     -914.89807      2.5090445     0.62587816      1.0980489    0.025400482
             71     0.70841340      1580.3130     -2495.1790     -914.86597      2.1070840     0.52560961      1.0980489    0.028073852
             81     0.80818994      1318.1627     -2233.0007     -914.83801      1.7575503     0.43841883      1.0980489    0.030052143
             91     0.90796647      1139.4243     -2054.2561     -914.83188      1.5192323     0.37897071      1.0980489    0.031330992
            101      1.0077430      1055.3055     -1970.1491     -914.84359      1.4070740     0.35099294      1.0980489    0.031985023
            111      1.1075195      1048.0520     -1962.9131     -914.86103      1.3974027     0.34858045      1.0980489    0.032139885
            121      1.2072961      1088.8346     -2003.7109     -914.87633      1.4517795     0.36214467      1.0980489    0.031934590
            131      1.3070726      1150.5571     -2065.4440     -914.88693      1.5340761     0.38267346      1.0980489    0.031494203
            141      1.4068492      1213.2067     -2128.0990     -914.89231      1.6176090     0.40351064      1.0980489    0.030916885
            151      1.5066257      1265.1764     -2180.0698     -914.89337      1.6869019     0.42079568      1.0980489    0.030271423
            161      1.6064022      1302.4105     -2217.3020     -914.89155      1.7365473     0.43317966      1.0980489    0.029600909
            171      1.7061788      1326.1047     -2240.9933     -914.88861      1.7681396     0.44106032      1.0980489    0.028929211
            181      1.8059553      1339.9405     -2254.8267     -914.88619      1.7865873     0.44566209      1.0980489    0.028267737
            191      1.9057318      1347.7422     -2262.6266     -914.88440      1.7969896     0.44825692      1.0980489    0.027620969
            201      2.0055084      1352.3093     -2267.1924     -914.88314      1.8030790     0.44977593      1.0980489    0.026990078
            211      2.1052849      1355.4761     -2270.3586     -914.88245      1.8073015     0.45082921      1.0980489    0.026374846
            221      2.2050614      1358.3434     -2273.2258     -914.88241      1.8111245     0.45178286      1.0980489    0.025774636
            231      2.3048380      1360.9592     -2275.8423     -914.88310      1.8146122     0.45265287      1.0980489    0.025188853
            241      2.4046145      1362.3469     -2277.2309     -914.88394      1.8164626     0.45311443      1.0980489    0.024616911
            251      2.5043910      1361.4199     -2276.3043     -914.88440      1.8152265     0.45280610      1.0980489    0.024057822
            261      2.6041676      1357.5911     -2272.4759     -914.88487      1.8101214     0.45153264      1.0980489    0.023509865
            271      2.7039441      1350.9399     -2265.8242     -914.88428      1.8012532     0.44932048      1.0980489    0.022970513
            281      2.8037206      1343.1938     -2258.0755     -914.88176      1.7909250     0.44674412      1.0980489    0.022436601
            291      2.9034972      1338.0682     -2252.9483     -914.88009      1.7840909     0.44503936      1.0980489    0.021905041
            301      3.0032737      1337.7294     -2252.6110     -914.88160      1.7836392     0.44492669      1.0980489    0.021374103
            311      3.1030503      1340.2439     -2255.1269     -914.88299      1.7869919     0.44576300      1.0980489    0.020843925
            321      3.2028268      1343.0438     -2257.9263     -914.88253      1.7907251     0.44669425      1.0980489    0.020315537
            331      3.3026033      1345.6548     -2260.5366     -914.88182      1.7942064     0.44756265      1.0980489    0.019789819
            341      3.4023799      1348.8597     -2263.7405     -914.88086      1.7984796     0.44862859      1.0980489    0.019267316
            351      3.5021564      1353.8489     -2268.7283     -914.87940      1.8051318     0.45028800      1.0980489    0.018748485
            361      3.6019329      1362.3003     -2277.1785     -914.87822      1.8164004     0.45309892      1.0980489    0.018234021
            371      3.7017095      1375.9139     -2290.7916     -914.87765      1.8345519     0.45762680      1.0980489    0.017725274
            381      3.8014860      1394.9558     -2309.8346     -914.87883      1.8599410     0.46396008      1.0980489    0.017224641
            391      3.9012625      1417.0568     -2331.9384     -914.88165      1.8894090     0.47131084      1.0980489    0.016735556
            401      4.0010391      1437.7524     -2352.6366     -914.88419      1.9170033     0.47819419      1.0980489    0.016261799
            411      4.1008156      1452.7358     -2367.6210     -914.88522      1.9369810     0.48317762      1.0980489    0.015806418
            421      4.2005921      1460.1627     -2375.0472     -914.88444      1.9468836     0.48564781      1.0980489    0.015370837
            431      4.3003687      1461.2342     -2376.1170     -914.88281      1.9483123     0.48600418      1.0980489    0.014954687
            441      4.4001452      1458.6664     -2373.5478     -914.88148      1.9448885     0.48515012      1.0980489    0.014556357
            451      4.4999218      1454.8385     -2369.7186     -914.88017      1.9397846     0.48387698      1.0980489    0.014173758
            461      4.5996983      1451.5213     -2366.4004     -914.87919      1.9353617     0.48277367      1.0980489    0.013804863
            471      4.6994748      1450.3193     -2365.1978     -914.87846      1.9337591     0.48237392      1.0980489    0.013448000
            481      4.7992514      1452.3492     -2367.2277     -914.87849      1.9364656     0.48304906      1.0980489    0.013102059
            491      4.8990279      1457.6932     -2372.5720     -914.87878      1.9435910     0.48482646      1.0980489    0.012766594
            501      4.9988044      1465.8030     -2380.6815     -914.87852      1.9544040     0.48752377      1.0980489    0.012441721
            511      5.0985810      1476.3328     -2391.2113     -914.87852      1.9684437     0.49102595      1.0980489    0.012127934
            521      5.1983575      1489.1237     -2404.0027     -914.87899      1.9854983     0.49528019      1.0980489    0.011826039
            531      5.2981340      1503.4904     -2418.3705     -914.88013      2.0046539     0.50005853      1.0980489    0.011537162
            541      5.3979106      1517.7899     -2432.6718     -914.88191      2.0237199     0.50481453      1.0980489    0.011262670
            551      5.4976871      1529.5298     -2444.4137     -914.88398      2.0393730     0.50871918      1.0980489    0.011003907
            561      5.5974636      1535.9923     -2450.8773     -914.88505      2.0479897     0.51086860      1.0980489    0.010761782
            571      5.6972402      1535.2883     -2450.1734     -914.88508      2.0470511     0.51063447      1.0980489    0.010536327
            581      5.7970167      1527.6835     -2442.5669     -914.88339      2.0369114     0.50810512      1.0980489    0.010326395
            591      5.8967933      1516.5302     -2431.4102     -914.88002      2.0220403     0.50439555      1.0980489    0.010129729
            601      5.9965698      1507.6629     -2422.5391     -914.87627      2.0102171     0.50144628      1.0980489   0.0099435767
            611      6.0963463      1506.6198     -2421.4950     -914.87517      2.0088264     0.50109936      1.0980489   0.0097656999
            621      6.1961229      1514.9233     -2429.8009     -914.87757      2.0198977     0.50386109      1.0980489   0.0095952851
            631      6.2958994      1528.9280     -2443.8093     -914.88130      2.0385706     0.50851903      1.0980489   0.0094331015
            641      6.3956759      1542.7381     -2457.6224     -914.88431      2.0569841     0.51311225      1.0980489   0.0092807987
            651      6.4954525      1551.3991     -2466.2852     -914.88605      2.0685321     0.51599289      1.0980489   0.0091399230
            661      6.5952290      1551.6331     -2466.5202     -914.88707      2.0688442     0.51607073      1.0980489   0.0090111820
            671      6.6950055      1542.1619     -2457.0475     -914.88559      2.0562159     0.51292061      1.0980489   0.0088940068
            681      6.7947821      1526.4700     -2441.3494     -914.87938      2.0352934     0.50770152      1.0980489   0.0087864301
            691      6.8945586      1513.6843     -2428.5604     -914.87604      2.0182458     0.50344901      1.0980489   0.0086857320
            701      6.9943351      1508.4676     -2423.3472     -914.87964      2.0112901     0.50171394      1.0980489   0.0085899112
            711      7.0941117      1505.7711     -2420.6534     -914.88227      2.0076948     0.50081709      1.0980489   0.0084983242
            721      7.1938882      1500.7512     -2415.6337     -914.88257      2.0010016     0.49914747      1.0980489   0.0084107830
            731      7.2936648      1492.7196     -2407.6016     -914.88203      1.9902927     0.49647616      1.0980489   0.0083267305
            741      7.3934413      1482.5080     -2397.3890     -914.88108      1.9766773     0.49307980      1.0980489   0.0082451529
            751      7.4932178      1471.1285     -2386.0086     -914.88014      1.9615047     0.48929501      1.0980489   0.0081647516
            761      7.5929944      1460.0493     -2374.9280     -914.87865      1.9467325     0.48561010      1.0980489   0.0080841341
            771      7.6927709      1451.1666     -2366.0440     -914.87748      1.9348888     0.48265570      1.0980489   0.0080020463
            781      7.7925474      1445.8985     -2360.7758     -914.87727      1.9278647     0.48090357      1.0980489   0.0079176264
            791      7.8923240      1444.6171     -2359.4946     -914.87748      1.9261562     0.48047737      1.0980489   0.0078305424
            801      7.9921005      1447.1579     -2362.0358     -914.87791      1.9295439     0.48132244      1.0980489   0.0077409606
            811      8.0918770      1453.1551     -2368.0336     -914.87848      1.9375401     0.48331708      1.0980489   0.0076494512
            821      8.1916536      1461.5713     -2376.4513     -914.88006      1.9487617     0.48611629      1.0980489   0.0075569030
            831      8.2914301      1470.3064     -2385.1884     -914.88207      1.9604085     0.48902157      1.0980489   0.0074643797
            841      8.3912066      1476.7817     -2391.6651     -914.88339      1.9690423     0.49117527      1.0980489   0.0073728676
            851      8.4909832      1479.2726     -2394.1559     -914.88332      1.9723635     0.49200373      1.0980489   0.0072829877
            861      8.5907597      1477.8785     -2392.7606     -914.88206      1.9705047     0.49154006      1.0980489   0.0071948317
            871      8.6905362      1474.5857     -2389.4659     -914.88016      1.9661143     0.49044488      1.0980489   0.0071080310
            881      8.7903128      1472.2449     -2387.1243     -914.87938      1.9629932     0.48966631      1.0980489   0.0070220427
            891      8.8900893      1472.6494     -2387.5293     -914.87992      1.9635325     0.48980086      1.0980489   0.0069365137
            901      8.9898659      1475.2570     -2390.1384     -914.88143      1.9670093     0.49066814      1.0980489   0.0068514834
            911      9.0896424      1478.1241     -2393.0060     -914.88192      1.9708321     0.49162173      1.0980489   0.0067672828
            921      9.1894189      1479.8834     -2394.7653     -914.88190      1.9731778     0.49220687      1.0980489   0.0066842701
            931      9.2891955      1480.3843     -2395.2654     -914.88107      1.9738457     0.49237348      1.0980489   0.0066026571
            941      9.3889720      1480.0752     -2394.9559     -914.88065      1.9734337     0.49227069      1.0980489   0.0065225041
            951      9.4887485      1479.5540     -2394.4340     -914.87996      1.9727387     0.49209733      1.0980489   0.0064437942
            961      9.5885251      1479.5562     -2394.4354     -914.87927      1.9727416     0.49209804      1.0980489   0.0063665141
            971      9.6883016      1480.8004     -2395.6793     -914.87890      1.9744005     0.49251186      1.0980489   0.0062907371
            981      9.7880781      1483.6024     -2398.4816     -914.87914      1.9781366     0.49344382      1.0980489   0.0062166845
            991      9.8878547      1487.4721     -2402.3522     -914.88009      1.9832962     0.49473087      1.0980489   0.0061447332
           1001      9.9876312      1491.0262     -2405.9077     -914.88146      1.9880349     0.49591296      1.0980489   0.0060753392
           1011      10.087408      1492.5633     -2407.4455     -914.88226      1.9900844     0.49642419      1.0980489   0.0060088772
           1021      10.187184      1491.0520     -2405.9344     -914.88246      1.9880693     0.49592152      1.0980489   0.0059454664
           1031      10.286961      1486.9042     -2401.7860     -914.88181      1.9825389     0.49454197      1.0980489   0.0058848800
           1041      10.386737      1481.8647     -2396.7456     -914.88089      1.9758196     0.49286586      1.0980489   0.0058266098
           1051      10.486514      1477.7930     -2392.6736     -914.88062      1.9703906     0.49151160      1.0980489   0.0057700605
           1061      10.586290      1475.5475     -2390.4283     -914.88078      1.9673966     0.49076476      1.0980489   0.0057147392
           1071      10.686067      1474.9675     -2389.8487     -914.88122      1.9666233     0.49057186      1.0980489   0.0056603299
           1081      10.785843      1475.5812     -2390.4627     -914.88150      1.9674416     0.49077596      1.0980489   0.0056066630
           1091      10.885620      1477.1458     -2392.0274     -914.88159      1.9695277     0.49129636      1.0980489   0.0055536658
           1101      10.985397      1479.6160     -2394.4976     -914.88166      1.9728213     0.49211793      1.0980489   0.0055013418
