     Time step:          Time:            Ek:            Ep:            Et:          Temp:          T/Ti:       Density:     Diffusion:
              1   0.0099776536      3521.3519     -3731.9241     -210.57223      4.6951359     0.93695686      1.0979885  0.00058638919
             11     0.10975419      3487.5700     -3698.1453     -210.57524      4.6500934     0.92796823      1.0980489   0.0064297213
             21     0.20953072      3394.3482     -3604.9312     -210.58298      4.5257976     0.90316388      1.0980489    0.012167708
             31     0.30930726      3233.4812     -3444.0766     -210.59540      4.3113083     0.86036059      1.0980489    0.017692824
             41     0.40908380      2994.1784     -3204.7846     -210.60621      3.9922379     0.79668720      1.0980489    0.022875375
             51     0.50886033      2672.0960     -2882.6983     -210.60225      3.5627947     0.71098793      1.0980489    0.027556628
             61     0.60863687      2288.1445     -2498.7129     -210.56842      3.0508594     0.60882660      1.0980489    0.031556318
             71     0.70841340      1905.2136     -2115.7297     -210.51610      2.5402848     0.50693681      1.0980489    0.034709836
             81     0.80818994      1606.1278     -1816.6153     -210.48753      2.1415037     0.42735645      1.0980489    0.036933066
             91     0.90796647      1436.9174     -1647.4128     -210.49548      1.9158898     0.38233315      1.0980489    0.038267759
            101      1.0077430      1387.0915     -1597.6114     -210.51991      1.8494553     0.36907555      1.0980489    0.038861791
            111      1.1075195      1416.9385     -1627.4819     -210.54337      1.8892514     0.37701721      1.0980489    0.038907706
            121      1.2072961      1484.6582     -1695.2183     -210.56016      1.9795442     0.39503596      1.0980489    0.038589086
            131      1.3070726      1558.2647     -1768.8338     -210.56911      2.0776863     0.41462110      1.0980489    0.038052687
            141      1.4068492      1619.1202     -1829.6910     -210.57074      2.1588270     0.43081347      1.0980489    0.037401119
            151      1.5066257      1661.2020     -1871.7696     -210.56763      2.2149360     0.44201053      1.0980489    0.036697652
            161      1.6064022      1687.0503     -1897.6134     -210.56308      2.2494004     0.44888821      1.0980489    0.035976758
            171      1.7061788      1702.5593     -1913.1191     -210.55976      2.2700791     0.45301483      1.0980489    0.035255389
            181      1.8059553      1712.7026     -1923.2611     -210.55855      2.2836035     0.45571374      1.0980489    0.034541670
            191      1.9057318      1720.0306     -1930.5886     -210.55805      2.2933741     0.45766355      1.0980489    0.033839813
            201      2.0055084      1725.8783     -1936.4356     -210.55724      2.3011711     0.45921952      1.0980489    0.033152075
            211      2.1052849      1731.1863     -1941.7436     -210.55737      2.3082483     0.46063185      1.0980489    0.032479649
            221      2.2050614      1735.5101     -1946.0690     -210.55892      2.3140134     0.46178233      1.0980489    0.031823256
            231      2.3048380      1737.2239     -1947.7840     -210.56015      2.3162985     0.46223832      1.0980489    0.031183038
            241      2.4046145      1735.0379     -1945.5988     -210.56085      2.3133839     0.46165670      1.0980489    0.030558017
            251      2.5043910      1728.1285     -1938.6908     -210.56228      2.3041713     0.45981824      1.0980489    0.029945861
            261      2.6041676      1716.2717     -1926.8324     -210.56065      2.2883623     0.45666341      1.0980489    0.029342892
            271      2.7039441      1702.9527     -1913.5089     -210.55623      2.2706036     0.45311950      1.0980489    0.028744251
            281      2.8037206      1694.2350     -1904.7919     -210.55689      2.2589801     0.45079992      1.0980489    0.028145420
            291      2.9034972      1689.4803     -1900.0407     -210.56038      2.2526404     0.44953478      1.0980489    0.027544355
            301      3.0032737      1683.8617     -1894.4212     -210.55951      2.2451490     0.44803980      1.0980489    0.026940808
            311      3.1030503      1677.2950     -1887.8518     -210.55685      2.2363933     0.44629253      1.0980489    0.026334277
            321      3.2028268      1673.1156     -1883.6705     -210.55488      2.2308209     0.44518049      1.0980489    0.025723880
            331      3.3026033      1673.9209     -1884.4746     -210.55375      2.2318945     0.44539474      1.0980489    0.025109367
            341      3.4023799      1681.2949     -1891.8471     -210.55218      2.2417265     0.44735682      1.0980489    0.024491702
            351      3.5021564      1696.7537     -1907.3048     -210.55112      2.2623383     0.45147008      1.0980489    0.023873219
            361      3.6019329      1720.7167     -1931.2691     -210.55244      2.2942889     0.45784612      1.0980489    0.023257783
            371      3.7017095      1750.4871     -1961.0431     -210.55605      2.3339828     0.46576739      1.0980489    0.022650714
            381      3.8014860      1780.1377     -1990.6977     -210.56007      2.3735169     0.47365678      1.0980489    0.022057980
            391      3.9012625      1803.3100     -2013.8719     -210.56183      2.4044134     0.47982245      1.0980489    0.021484720
            401      4.0010391      1816.9068     -2027.4673     -210.56046      2.4225424     0.48344026      1.0980489    0.020933915
            411      4.1008156      1822.3107     -2032.8684     -210.55764      2.4297476     0.48487813      1.0980489    0.020406043
            421      4.2005921      1822.8149     -2033.3715     -210.55656      2.4304199     0.48501229      1.0980489    0.019899840
            431      4.3003687      1820.5246     -2031.0804     -210.55589      2.4273661     0.48440287      1.0980489    0.019413358
            441      4.4001452      1816.4056     -2026.9605     -210.55492      2.4218742     0.48330691      1.0980489    0.018944517
            451      4.4999218      1812.0497     -2022.6033     -210.55362      2.4160663     0.48214790      1.0980489    0.018491253
            461      4.5996983      1809.4622     -2020.0153     -210.55308      2.4126163     0.48145942      1.0980489    0.018051771
            471      4.6994748      1809.5561     -2020.1093     -210.55325      2.4127414     0.48148439      1.0980489    0.017624830
            481      4.7992514      1812.5952     -2023.1475     -210.55230      2.4167937     0.48229305      1.0980489    0.017209719
            491      4.8990279      1820.0554     -2030.6061     -210.55074      2.4267405     0.48427803      1.0980489    0.016806139
            501      4.9988044      1834.0620     -2044.6124     -210.55045      2.4454160     0.48800489      1.0980489    0.016414428
