     Time step:          Time:            Ek:            Ep:            Et:          Temp:          T/Ti:       Density:     Diffusion:
              1   0.0099776536      2641.0139     -3731.9939     -1090.9799      3.5213519     0.93695686      1.0979885  0.00043979189
             11     0.10975419      2615.7664     -3706.7478     -1090.9814      3.4876885     0.92799975      1.0980489   0.0048223223
             21     0.20953072      2546.9506     -3637.9360     -1090.9854      3.3959342     0.90358587      1.0980489   0.0091266136
             31     0.30930726      2430.8455     -3521.8369     -1090.9914      3.2411273     0.86239505      1.0980489    0.013275646
             41     0.40908380      2262.8580     -3353.8543     -1090.9963      3.0171440     0.80279786      1.0980489    0.017181666
             51     0.50886033      2041.5566     -3132.5514     -1090.9948      2.7220755     0.72428640      1.0980489    0.020743216
             61     0.60863687      1776.4130     -2867.3934     -1090.9804      2.3685507     0.63022097      1.0980489    0.023848361
             71     0.70841340      1496.2239     -2587.1766     -1090.9528      1.9949652     0.53081781      1.0980489    0.026389690
             81     0.80818994      1246.7919     -2337.7184     -1090.9265      1.6623892     0.44232642      1.0980489    0.028292913
             91     0.90796647      1069.4730     -2160.3911     -1090.9180      1.4259640     0.37941871      1.0980489    0.029546571
            101      1.0077430      978.80883     -2069.7353     -1090.9265      1.3050784     0.34725362      1.0980489    0.030209986
            111      1.1075195      962.28789     -2053.2294     -1090.9415      1.2830505     0.34139246      1.0980489    0.030392311
            121      1.2072961      994.92444     -2085.8804     -1090.9560      1.3265659     0.35297098      1.0980489    0.030219865
            131      1.3070726      1051.5607     -2142.5269     -1090.9662      1.4020810     0.37306393      1.0980489    0.029810194
            141      1.4068492      1112.6168     -2203.5891     -1090.9723      1.4834891     0.39472489      1.0980489    0.029258404
            151      1.5066257      1165.7910     -2256.7656     -1090.9746      1.5543880     0.41358960      1.0980489    0.028633325
            161      1.6064022      1205.6969     -2296.6706     -1090.9736      1.6075959     0.42774709      1.0980489    0.027979695
            171      1.7061788      1232.1794     -2323.1507     -1090.9713      1.6429058     0.43714231      1.0980489    0.027323354
            181      1.8059553      1248.0177     -2338.9865     -1090.9687      1.6640236     0.44276131      1.0980489    0.026677204
            191      1.9057318      1256.7944     -2347.7610     -1090.9666      1.6757259     0.44587502      1.0980489    0.026046455
            201      2.0055084      1261.5301     -2352.4955     -1090.9654      1.6820402     0.44755512      1.0980489    0.025432372
            211      2.1052849      1264.3414     -2355.3059     -1090.9645      1.6857885     0.44855248      1.0980489    0.024834511
            221      2.2050614      1266.6115     -2357.5756     -1090.9641      1.6888154     0.44935786      1.0980489    0.024251878
            231      2.3048380      1268.8192     -2359.7834     -1090.9642      1.6917589     0.45014107      1.0980489    0.023683524
            241      2.4046145      1270.3841     -2361.3490     -1090.9649      1.6938455     0.45069627      1.0980489    0.023128674
            251      2.5043910      1270.2755     -2361.2409     -1090.9655      1.6937006     0.45065772      1.0980489    0.022586422
            261      2.6041676      1267.7864     -2358.7523     -1090.9659      1.6903818     0.44977465      1.0980489    0.022055347
            271      2.7039441      1262.8162     -2353.7821     -1090.9659      1.6837549     0.44801138      1.0980489    0.021533356
            281      2.8037206      1256.3563     -2347.3206     -1090.9644      1.6751417     0.44571958      1.0980489    0.021017754
            291      2.9034972      1251.2087     -2342.1711     -1090.9623      1.6682783     0.44389339      1.0980489    0.020505686
            301      3.0032737      1250.3316     -2341.2942     -1090.9626      1.6671088     0.44358221      1.0980489    0.019995135
            311      3.1030503      1253.5210     -2344.4850     -1090.9641      1.6713613     0.44471370      1.0980489    0.019485789
            321      3.2028268      1258.2207     -2349.1857     -1090.9650      1.6776277     0.44638104      1.0980489    0.018978689
            331      3.3026033      1262.7680     -2353.7326     -1090.9646      1.6836907     0.44799428      1.0980489    0.018475150
            341      3.4023799      1267.0826     -2358.0466     -1090.9640      1.6894434     0.44952497      1.0980489    0.017976140
