     Time step:          Time:            Ek:            Ep:            Et:          Temp:          T/Ti:       Density:     Diffusion:
              1   0.0099776536      2699.7031     -3731.9892     -1032.2861      3.5996042     0.93695686      1.0979885  0.00044956504
             11     0.10975419      2673.8885     -3706.1762     -1032.2877      3.5651847     0.92799766      1.0980489   0.0049294829
             21     0.20953072      2603.4694     -3635.7611     -1032.2917      3.4712925     0.90355805      1.0980489   0.0093293711
             31     0.30930726      2484.4820     -3516.7787     -1032.2966      3.3126427     0.86226238      1.0980489    0.013570257
             41     0.40908380      2311.9972     -3344.2992     -1032.3021      3.0826629     0.80239993      1.0980489    0.017561809
             51     0.50886033      2084.4110     -3116.7121     -1032.3011      2.7792147     0.72341407      1.0980489    0.021199158
             61     0.60863687      1811.7113     -2843.9970     -1032.2857      2.4156150     0.62877110      1.0980489    0.024366313
             71     0.70841340      1524.4078     -2556.6644     -1032.2567      2.0325437     0.52905976      1.0980489    0.026952194
             81     0.80818994      1270.5941     -2302.8239     -1032.2298      1.6941255     0.44097139      1.0980489    0.028881094
             91     0.90796647      1092.6160     -2124.8381     -1032.2221      1.4568214     0.37920247      1.0980489    0.030143729
            101      1.0077430      1004.0116     -2036.2430     -1032.2314      1.3386822     0.34845149      1.0980489    0.030804359
            111      1.1075195      990.55320     -2022.8004     -1032.2472      1.3207376     0.34378062      1.0980489    0.030977593
            121      1.2072961      1025.9536     -2058.2153     -1032.2617      1.3679381     0.35606664      1.0980489    0.030794033
            131      1.3070726      1084.3771     -2116.6494     -1032.2723      1.4458362     0.37634308      1.0980489    0.030373825
            141      1.4068492      1146.0664     -2178.3445     -1032.2781      1.5280886     0.39775292      1.0980489    0.029813184
            151      1.5066257      1198.9182     -2231.1981     -1032.2800      1.5985576     0.41609561      1.0980489    0.029180999
            161      1.6064022      1237.9669     -2270.2456     -1032.2787      1.6506226     0.42964784      1.0980489    0.028521498
            171      1.7061788      1263.5060     -2295.7821     -1032.2761      1.6846747     0.43851140      1.0980489    0.027859866
            181      1.8059553      1278.6313     -2310.9048     -1032.2735      1.7048417     0.44376077      1.0980489    0.027208488
            191      1.9057318      1287.0326     -2319.3045     -1032.2719      1.7160435     0.44667654      1.0980489    0.026572295
            201      2.0055084      1291.6768     -2323.9476     -1032.2708      1.7222358     0.44828835      1.0980489    0.025952499
            211      2.1052849      1294.5868     -2326.8569     -1032.2701      1.7261158     0.44929830      1.0980489    0.025348717
            221      2.2050614      1297.0534     -2329.3234     -1032.2700      1.7294045     0.45015434      1.0980489    0.024760069
            231      2.3048380      1299.4184     -2331.6890     -1032.2706      1.7325578     0.45097512      1.0980489    0.024185730
            241      2.4046145      1300.9585     -2333.2298     -1032.2713      1.7346114     0.45150965      1.0980489    0.023624999
            251      2.5043910      1300.6097     -2332.8818     -1032.2721      1.7341463     0.45138858      1.0980489    0.023076954
            261      2.6041676      1297.7041     -2329.9770     -1032.2729      1.7302721     0.45038017      1.0980489    0.022540087
            271      2.7039441      1292.1968     -2324.4692     -1032.2724      1.7229290     0.44846880      1.0980489    0.022012168
            281      2.8037206      1285.2872     -2317.5575     -1032.2703      1.7137163     0.44607079      1.0980489    0.021490348
            291      2.9034972      1280.0964     -2312.3649     -1032.2684      1.7067952     0.44426927      1.0980489    0.020971679
            301      3.0032737      1279.4292     -2311.6983     -1032.2691      1.7059056     0.44403770      1.0980489    0.020454220
            311      3.1030503      1282.5016     -2314.7722     -1032.2706      1.7100021     0.44510399      1.0980489    0.019937815
            321      3.2028268      1286.6348     -2318.9058     -1032.2710      1.7155131     0.44653846      1.0980489    0.019423537
            331      3.3026033      1290.5221     -2322.7925     -1032.2704      1.7206961     0.44788759      1.0980489    0.018912576
            341      3.4023799      1294.3964     -2326.6659     -1032.2695      1.7258618     0.44923220      1.0980489    0.018405751
            351      3.5021564      1299.1610     -2331.4297     -1032.2687      1.7322147     0.45088580      1.0980489    0.017903604
            361      3.6019329      1306.2822     -2338.5495     -1032.2673      1.7417095     0.45335727      1.0980489    0.017406679
            371      3.7017095      1317.5184     -2349.7850     -1032.2666      1.7566913     0.45725692      1.0980489    0.016915921
            381      3.8014860      1333.7757     -2366.0431     -1032.2674      1.7783676     0.46289916      1.0980489    0.016433110
            391      3.9012625      1353.7511     -2386.0207     -1032.2696      1.8050015     0.46983180      1.0980489    0.015961029
            401      4.0010391      1373.8387     -2406.1111     -1032.2724      1.8317850     0.47680340      1.0980489    0.015503056
            411      4.1008156      1389.7631     -2422.0371     -1032.2740      1.8530175     0.48233011      1.0980489    0.015062241
            421      4.2005921      1398.8463     -2431.1201     -1032.2738      1.8651284     0.48548250      1.0980489    0.014640369
            431      4.3003687      1401.2592     -2433.5314     -1032.2722      1.8683456     0.48631992      1.0980489    0.014237536
            441      4.4001452      1399.2854     -2431.5559     -1032.2705      1.8657138     0.48563489      1.0980489    0.013852450
            451      4.4999218      1395.4956     -2427.7648     -1032.2692      1.8606608     0.48431962      1.0980489    0.013483129
            461      4.5996983      1391.8722     -2424.1403     -1032.2681      1.8558296     0.48306208      1.0980489    0.013127516
            471      4.6994748      1390.0825     -2422.3496     -1032.2671      1.8534434     0.48244096      1.0980489    0.012783846
            481      4.7992514      1391.4525     -2423.7190     -1032.2665      1.8552700     0.48291642      1.0980489    0.012450878
            491      4.8990279      1396.3978     -2428.6648     -1032.2670      1.8618638     0.48463274      1.0980489    0.012128043
            501      4.9988044      1404.4240     -2436.6912     -1032.2672      1.8725653     0.48741829      1.0980489    0.011815409
            511      5.0985810      1414.8389     -2447.1061     -1032.2673      1.8864518     0.49103288      1.0980489    0.011513502
            521      5.1983575      1427.1337     -2459.4013     -1032.2676      1.9028449     0.49529991      1.0980489    0.011223147
            531      5.2981340      1440.6065     -2472.8748     -1032.2683      1.9208086     0.49997576      1.0980489    0.010945410
            541      5.3979106      1453.9490     -2486.2189     -1032.2698      1.9385987     0.50460642      1.0980489    0.010681509
            551      5.4976871      1465.2365     -2497.5078     -1032.2713      1.9536487     0.50852385      1.0980489    0.010432623
            561      5.5974636      1472.3518     -2504.6244     -1032.2725      1.9631358     0.51099328      1.0980489    0.010199586
            571      5.6972402      1473.7250     -2505.9978     -1032.2728      1.9649667     0.51146985      1.0980489   0.0099825513
            581      5.7970167      1469.1571     -2501.4293     -1032.2722      1.9588761     0.50988452      1.0980489   0.0097807520
            591      5.8967933      1460.4769     -2492.7467     -1032.2697      1.9473026     0.50687198      1.0980489   0.0095924868
            601      5.9965698      1451.6850     -2483.9515     -1032.2665      1.9355800     0.50382066      1.0980489   0.0094154481
            611      6.0963463      1447.7142     -2479.9789     -1032.2647      1.9302856     0.50244256      1.0980489   0.0092474177
            621      6.1961229      1451.5539     -2483.8196     -1032.2657      1.9354052     0.50377516      1.0980489   0.0090870981
            631      6.2958994      1461.8247     -2494.0935     -1032.2688      1.9490996     0.50733974      1.0980489   0.0089345599
            641      6.3956759      1473.8148     -2506.0864     -1032.2716      1.9650865     0.51150103      1.0980489   0.0087909286
            651      6.4954525      1482.6369     -2514.9105     -1032.2736      1.9768492     0.51456281      1.0980489   0.0086575587
            661      6.5952290      1484.9891     -2517.2638     -1032.2747      1.9799854     0.51537915      1.0980489   0.0085352727
            671      6.6950055      1479.1125     -2511.3876     -1032.2751      1.9721500     0.51333964      1.0980489   0.0084239129
            681      6.7947821      1465.5917     -2497.8637     -1032.2720      1.9541223     0.50864712      1.0980489   0.0083221344
            691      6.8945586      1449.7536     -2482.0205     -1032.2669      1.9330048     0.50315036      1.0980489   0.0082275570
            701      6.9943351      1439.3877     -2471.6541     -1032.2664      1.9191836     0.49955278      1.0980489   0.0081376585
            711      7.0941117      1435.6172     -2467.8877     -1032.2705      1.9141563     0.49824419      1.0980489   0.0080509628
            721      7.1938882      1433.1944     -2465.4668     -1032.2723      1.9109259     0.49740334      1.0980489   0.0079671119
            731      7.2936648      1428.5639     -2460.8358     -1032.2718      1.9047519     0.49579629      1.0980489   0.0078859551
            741      7.3934413      1421.3761     -2453.6468     -1032.2707      1.8951682     0.49330169      1.0980489   0.0078069735
            751      7.4932178      1412.5005     -2444.7702     -1032.2697      1.8833340     0.49022132      1.0980489   0.0077292652
            761      7.5929944      1403.0933     -2435.3624     -1032.2691      1.8707910     0.48695645      1.0980489   0.0076517259
            771      7.6927709      1394.5637     -2426.8317     -1032.2680      1.8594183     0.48399620      1.0980489   0.0075732553
            781      7.7925474      1388.3520     -2420.6192     -1032.2672      1.8511360     0.48184036      1.0980489   0.0074929630
            791      7.8923240      1385.4706     -2417.7376     -1032.2670      1.8472941     0.48084034      1.0980489   0.0074103312
            801      7.9921005      1386.4463     -2418.7133     -1032.2670      1.8485950     0.48117896      1.0980489   0.0073252829
            811      8.0918770      1391.3203     -2423.5878     -1032.2676      1.8550937     0.48287052      1.0980489   0.0072381814
            821      8.1916536      1399.3099     -2431.5790     -1032.2691      1.8657466     0.48564342      1.0980489   0.0071497864
            831      8.2914301      1408.4691     -2440.7400     -1032.2708      1.8779588     0.48882220      1.0980489   0.0070611287
            841      8.3912066      1416.1199     -2448.3924     -1032.2725      1.8881598     0.49147745      1.0980489   0.0069732701
            851      8.4909832      1420.0233     -2452.2961     -1032.2728      1.8933644     0.49283217      1.0980489   0.0068869956
            861      8.5907597      1419.4502     -2451.7224     -1032.2722      1.8926002     0.49263326      1.0980489   0.0068025818
            871      8.6905362      1415.5526     -2447.8236     -1032.2709      1.8874035     0.49128059      1.0980489   0.0067197659
            881      8.7903128      1410.9851     -2443.2542     -1032.2691      1.8813134     0.48969538      1.0980489   0.0066379374
            891      8.8900893      1408.5679     -2440.8362     -1032.2683      1.8780906     0.48885648      1.0980489   0.0065564857
            901      8.9898659      1409.4222     -2441.6915     -1032.2693      1.8792295     0.48915295      1.0980489   0.0064751354
            911      9.0896424      1412.3565     -2444.6272     -1032.2707      1.8831420     0.49017135      1.0980489   0.0063940401
            921      9.1894189      1415.4222     -2447.6933     -1032.2711      1.8872296     0.49123532      1.0980489   0.0063135902
            931      9.2891955      1417.6571     -2449.9280     -1032.2709      1.8902095     0.49201098      1.0980489   0.0062341522
            941      9.3889720      1419.3427     -2451.6129     -1032.2703      1.8924569     0.49259596      1.0980489   0.0061559539
            951      9.4887485      1421.3267     -2453.5962     -1032.2695      1.8951022     0.49328453      1.0980489   0.0060791341
            961      9.5885251      1424.3580     -2456.6271     -1032.2692      1.8991440     0.49433656      1.0980489   0.0060038608
            971      9.6883016      1428.5130     -2460.7824     -1032.2694      1.9046841     0.49577862      1.0980489   0.0059304311
            981      9.7880781      1432.9674     -2465.2374     -1032.2700      1.9106232     0.49732455      1.0980489   0.0058592836
            991      9.8878547      1436.2850     -2468.5560     -1032.2709      1.9150467     0.49847597      1.0980489   0.0057909062
           1001      9.9876312      1436.9625     -2469.2339     -1032.2714      1.9159500     0.49871108      1.0980489   0.0057256805
           1011      10.087408      1433.9150     -2466.1867     -1032.2717      1.9118867     0.49765342      1.0980489   0.0056637237
           1021      10.187184      1426.9792     -2459.2504     -1032.2711      1.9026390     0.49524630      1.0980489   0.0056047773
           1031      10.286961      1417.3816     -2449.6514     -1032.2698      1.8898421     0.49191536      1.0980489   0.0055481923
           1041      10.386737      1407.8513     -2440.1190     -1032.2677      1.8771350     0.48860776      1.0980489   0.0054930521
           1051      10.486514      1401.5633     -2433.8301     -1032.2668      1.8687510     0.48642546      1.0980489   0.0054384385
           1061      10.586290      1400.2655     -2432.5327     -1032.2672      1.8670207     0.48597505      1.0980489   0.0053837313
           1071      10.686067      1403.5866     -2435.8553     -1032.2687      1.8714488     0.48712767      1.0980489   0.0053287529
           1081      10.785843      1410.0688     -2442.3385     -1032.2697      1.8800917     0.48937738      1.0980489   0.0052737070
           1091      10.885620      1418.2269     -2450.4976     -1032.2707      1.8909693     0.49220873      1.0980489   0.0052190318
           1101      10.985397      1426.7440     -2459.0155     -1032.2715      1.9023254     0.49516467      1.0980489   0.0051652715
           1111      11.085173      1434.2834     -2466.5557     -1032.2723      1.9123778     0.49778127      1.0980489   0.0051129755
           1121      11.184950      1439.5250     -2471.7978     -1032.2728      1.9193667     0.49960042      1.0980489   0.0050626055
           1131      11.284726      1441.2933     -2473.5670     -1032.2738      1.9217244     0.50021411      1.0980489   0.0050144507
           1141      11.384503      1438.7351     -2471.0093     -1032.2742      1.9183135     0.49932628      1.0980489   0.0049685556
           1151      11.484279      1431.6331     -2463.9066     -1032.2735      1.9088442     0.49686147      1.0980489   0.0049246672
           1161      11.584056      1420.9913     -2453.2635     -1032.2722      1.8946550     0.49316812      1.0980489   0.0048822212
           1171      11.683832      1409.0844     -2441.3553     -1032.2709      1.8787792     0.48903574      1.0980489   0.0048404251
           1181      11.783609      1398.0884     -2430.3592     -1032.2708      1.8641178     0.48521946      1.0980489   0.0047984462
           1191      11.883385      1388.3821     -2420.6538     -1032.2716      1.8511762     0.48185082      1.0980489   0.0047555769
           1201      11.983162      1379.0729     -2411.3449     -1032.2721      1.8387638     0.47861995      1.0980489   0.0047112348
           1211      12.082938      1370.2148     -2402.4860     -1032.2712      1.8269530     0.47554567      1.0980489   0.0046648556
           1221      12.182715      1363.8408     -2396.1104     -1032.2696      1.8184544     0.47333352      1.0980489   0.0046158820
           1231      12.282492      1362.6705     -2394.9391     -1032.2685      1.8168940     0.47292737      1.0980489   0.0045639279
           1241      12.382268      1367.8991     -2400.1680     -1032.2689      1.8238655     0.47474199      1.0980489   0.0045089897
           1251      12.482045      1378.7311     -2411.0009     -1032.2698      1.8383082     0.47850135      1.0980489   0.0044515194
           1261      12.581821      1393.4189     -2425.6899     -1032.2710      1.8578918     0.48359887      1.0980489   0.0043923383
           1271      12.681598      1409.4972     -2441.7703     -1032.2730      1.8793297     0.48917901      1.0980489   0.0043324977
           1281      12.781374      1423.5027     -2455.7781     -1032.2754      1.8980036     0.49403974      1.0980489   0.0042731107
           1291      12.881151      1431.7439     -2464.0211     -1032.2772      1.9089919     0.49689992      1.0980489   0.0042151152
           1301      12.980927      1432.0529     -2464.3296     -1032.2768      1.9094038     0.49700715      1.0980489   0.0041590123
           1311      13.080704      1425.3548     -2457.6288     -1032.2739      1.9004731     0.49468254      1.0980489   0.0041047157
           1321      13.180480      1415.5966     -2447.8675     -1032.2709      1.8874622     0.49129586      1.0980489   0.0040516372
           1331      13.280257      1407.3596     -2439.6290     -1032.2695      1.8764794     0.48843711      1.0980489   0.0039989935
           1341      13.380033      1403.1591     -2435.4287     -1032.2696      1.8708788     0.48697929      1.0980489   0.0039461445
           1351      13.479810      1403.3334     -2435.6032     -1032.2697      1.8711112     0.48703980      1.0980489   0.0038927517
           1361      13.579586      1407.6505     -2439.9200     -1032.2695      1.8768674     0.48853810      1.0980489   0.0038387682
           1371      13.679363      1415.9165     -2448.1864     -1032.2700      1.8878886     0.49140687      1.0980489   0.0037844038
           1381      13.779140      1427.3130     -2459.5839     -1032.2709      1.9030840     0.49536213      1.0980489   0.0037301162
           1391      13.878916      1440.0999     -2472.3723     -1032.2723      1.9201333     0.49979996      1.0980489   0.0036765644
           1401      13.978693      1452.1393     -2484.4126     -1032.2733      1.9361857     0.50397833      1.0980489   0.0036244899
           1411      14.078469      1461.5188     -2493.7929     -1032.2741      1.9486918     0.50723358      1.0980489   0.0035745639
           1421      14.178246      1467.3434     -2499.6173     -1032.2738      1.9564579     0.50925506      1.0980489   0.0035272504
           1431      14.278022      1470.3711     -2502.6436     -1032.2724      1.9604948     0.51030585      1.0980489   0.0034827474
           1441      14.377799      1472.4156     -2504.6873     -1032.2717      1.9632209     0.51101542      1.0980489   0.0034410539
           1451      14.477575      1474.6839     -2506.9557     -1032.2718      1.9662452     0.51180264      1.0980489   0.0034021133
           1461      14.577352      1476.8168     -2509.0895     -1032.2727      1.9690891     0.51254289      1.0980489   0.0033659075
           1471      14.677128      1477.4413     -2509.7146     -1032.2733      1.9699217     0.51275962      1.0980489   0.0033324384
           1481      14.776905      1475.2822     -2507.5558     -1032.2736      1.9670429     0.51201028      1.0980489   0.0033016419
           1491      14.876681      1469.9611     -2502.2345     -1032.2734      1.9599481     0.51016354      1.0980489   0.0032733115
