     Time step:          Time:            Ek:            Ep:            Et:          Temp:          T/Ti:       Density:     Diffusion:
              1   0.0099776536      2347.5679     -3732.0171     -1384.4492      3.1300906     0.93695686      1.0979885  0.00039092612
             11     0.10975419      2325.1517     -3709.6020     -1384.4503      3.1002023     0.92801015      1.0980489   0.0042865179
             21     0.20953072      2264.3040     -3648.7570     -1384.4530      3.0190719     0.90372470      1.0980489   0.0081127902
             31     0.30930726      2162.4092     -3546.8659     -1384.4567      2.8832122     0.86305664      1.0980489    0.011802325
             41     0.40908380      2016.3706     -3400.8306     -1384.4601      2.6884941     0.80476999      1.0980489    0.015279811
             51     0.50886033      1825.5610     -3210.0199     -1384.4590      2.4340813     0.72861443      1.0980489    0.018460006
             61     0.60863687      1597.2656     -2981.7142     -1384.4486      2.1296874     0.63749761      1.0980489    0.021250165
             71     0.70841340      1352.7849     -2737.2126     -1384.4276      1.8037133     0.53992096      1.0980489    0.023560665
             81     0.80818994      1127.2252     -2511.6304     -1384.4051      1.5029670     0.44989600      1.0980489    0.025325385
             91     0.90796647      956.07826     -2340.4723     -1384.3941      1.2747710     0.38158814      1.0980489    0.026524757
            101      1.0077430      857.24936     -2241.6470     -1384.3976      1.1429991     0.34214374      1.0980489    0.027196030
            111      1.1075195      826.11147     -2210.5205     -1384.4090      1.1014820     0.32971604      1.0980489    0.027422050
            121      1.2072961      844.38887     -2228.8104     -1384.4215      1.1258518     0.33701088      1.0980489    0.027307158
            131      1.3070726      890.77757     -2275.2092     -1384.4316      1.1877034     0.35552545      1.0980489    0.026954588
            141      1.4068492      947.07707     -2331.5152     -1384.4381      1.2627694     0.37799560      1.0980489    0.026452465
            151      1.5066257      1000.4949     -2384.9362     -1384.4412      1.3339932     0.39931564      1.0980489    0.025868128
            161      1.6064022      1043.9316     -2428.3733     -1384.4417      1.3919088     0.41665200      1.0980489    0.025248116
            171      1.7061788      1075.1130     -2459.5534     -1384.4405      1.4334840     0.42909705      1.0980489    0.024621331
            181      1.8059553      1095.0816     -2479.5198     -1384.4382      1.4601088     0.43706690      1.0980489    0.024003513
            191      1.9057318      1106.5126     -2490.9488     -1384.4362      1.4753501     0.44162919      1.0980489    0.023401694
            201      2.0055084      1112.3657     -2496.8004     -1384.4348      1.4831542     0.44396528      1.0980489    0.022817872
            211      2.1052849      1115.1114     -2499.5449     -1384.4335      1.4868152     0.44506115      1.0980489    0.022251551
            221      2.2050614      1116.5629     -2500.9959     -1384.4329      1.4887506     0.44564047      1.0980489    0.021701286
            231      2.3048380      1117.8049     -2502.2375     -1384.4326      1.4904066     0.44613619      1.0980489    0.021165525
            241      2.4046145      1119.0077     -2503.4409     -1384.4332      1.4920103     0.44661625      1.0980489    0.020642984
            251      2.5043910      1119.5559     -2503.9897     -1384.4338      1.4927412     0.44683503      1.0980489    0.020132606
            261      2.6041676      1118.6675     -2503.1015     -1384.4340      1.4915567     0.44648046      1.0980489    0.019633240
            271      2.7039441      1115.9753     -2500.4093     -1384.4340      1.4879670     0.44540593      1.0980489    0.019143343
            281      2.8037206      1111.7959     -2496.2291     -1384.4332      1.4823946     0.44373788      1.0980489    0.018660915
            291      2.9034972      1107.5440     -2491.9753     -1384.4313      1.4767253     0.44204084      1.0980489    0.018183662
            301      3.0032737      1105.7444     -2490.1743     -1384.4299      1.4743259     0.44132262      1.0980489    0.017709520
            311      3.1030503      1108.2491     -2492.6795     -1384.4305      1.4776654     0.44232226      1.0980489    0.017237475
            321      3.2028268      1114.3218     -2498.7537     -1384.4319      1.4857624     0.44474601      1.0980489    0.016768005
