     Time step:          Time:            Ek:            Ep:            Et:          Temp:          T/Ti:       Density:     Diffusion:
              1   0.0099776536      1467.2300     -3732.0869     -2264.8569      1.9563066     0.93695686      1.0979885  0.00024432883
             11     0.10975419      1453.2680     -3718.1252     -2264.8572      1.9376906     0.92804089      1.0980489   0.0026790906
             21     0.20953072      1415.8369     -3680.6948     -2264.8578      1.8877826     0.90413784      1.0980489   0.0050709484
             31     0.30930726      1354.5253     -3619.3843     -2264.8590      1.8060337     0.86498490      1.0980489   0.0073796642
             41     0.40908380      1269.1645     -3534.0245     -2264.8600      1.6922193     0.81047444      1.0980489   0.0095629737
             51     0.50886033      1160.6726     -3425.5320     -2264.8593      1.5475635     0.74119272      1.0980489    0.011576325
             61     0.60863687      1032.4818     -3297.3376     -2264.8558      1.3766424     0.65933150      1.0980489    0.013373928
             71     0.70841340      892.15678     -3157.0058     -2264.8490      1.1895424     0.56972147      1.0980489    0.014911890
             81     0.80818994      752.05806     -3016.8979     -2264.8399      1.0027441     0.48025597      1.0980489    0.016153850
             91     0.90796647      627.55322     -2892.3844     -2264.8312     0.83673763     0.40074856      1.0980489    0.017078250
            101      1.0077430      532.44043     -2797.2669     -2264.8265     0.70992057     0.34001058      1.0980489    0.017684556
            111      1.1075195      474.09367     -2738.9207     -2264.8270     0.63212490     0.30275099      1.0980489    0.017995012
            121      1.2072961      451.80668     -2716.6381     -2264.8314     0.60240890     0.28851876      1.0980489    0.018050488
            131      1.3070726      458.79690     -2723.6341     -2264.8372     0.61172920     0.29298264      1.0980489    0.017902406
            141      1.4068492      485.62429     -2750.4671     -2264.8428     0.64749905     0.31011431      1.0980489    0.017604213
            151      1.5066257      522.95003     -2787.7973     -2264.8472     0.69726671     0.33395012      1.0980489    0.017204921
            161      1.6064022      563.06309     -2827.9131     -2264.8500     0.75075078     0.35956587      1.0980489    0.016745416
            171      1.7061788      600.44935     -2865.3010     -2264.8517     0.80059914     0.38344033      1.0980489    0.016257140
            181      1.8059553      631.78452     -2896.6366     -2264.8521     0.84237936     0.40345062      1.0980489    0.015762379
            191      1.9057318      655.64256     -2920.4944     -2264.8519     0.87419008     0.41868610      1.0980489    0.015275473
            201      2.0055084      672.02814     -2936.8793     -2264.8511     0.89603752     0.42914975      1.0980489    0.014804463
            211      2.1052849      681.89990     -2946.7502     -2264.8503     0.90919987     0.43545375      1.0980489    0.014352787
            221      2.2050614      686.72264     -2951.5719     -2264.8493     0.91563019     0.43853350      1.0980489    0.013920828
            231      2.3048380      688.10423     -2952.9525     -2264.8482     0.91747231     0.43941577      1.0980489    0.013507178
            241      2.4046145      687.52603     -2952.3737     -2264.8477     0.91670138     0.43904654      1.0980489    0.013109609
            251      2.5043910      686.15473     -2951.0018     -2264.8470     0.91487297     0.43817083      1.0980489    0.012725728
            261      2.6041676      684.71586     -2949.5627     -2264.8468     0.91295448     0.43725199      1.0980489    0.012353366
            271      2.7039441      683.48559     -2948.3326     -2264.8471     0.91131412     0.43646635      1.0980489    0.011990729
            281      2.8037206      682.43714     -2947.2842     -2264.8471     0.90991619     0.43579683      1.0980489    0.011636361
            291      2.9034972      681.53238     -2946.3795     -2264.8471     0.90870984     0.43521905      1.0980489    0.011289023
            301      3.0032737      680.95904     -2945.8060     -2264.8470     0.90794539     0.43485293      1.0980489    0.010947609
            311      3.1030503      681.24311     -2946.0895     -2264.8464     0.90832415     0.43503433      1.0980489    0.010611148
            321      3.2028268      683.20018     -2948.0460     -2264.8458     0.91093358     0.43628410      1.0980489    0.010278935
            331      3.3026033      687.62732     -2952.4729     -2264.8456     0.91683642     0.43911122      1.0980489   0.0099507421
            341      3.4023799      694.82151     -2959.6674     -2264.8459     0.92642868     0.44370535      1.0980489   0.0096270035
            351      3.5021564      704.24061     -2969.0874     -2264.8468     0.93898748     0.44972028      1.0980489   0.0093088277
            361      3.6019329      714.68925     -2979.5369     -2264.8476     0.95291900     0.45639266      1.0980489   0.0089977680
            371      3.7017095      724.88264     -2989.7306     -2264.8480     0.96651018     0.46290205      1.0980489   0.0086954452
            381      3.8014860      733.96648     -2998.8145     -2264.8480     0.97862197     0.46870289      1.0980489   0.0084032085
            391      3.9012625      741.69232     -3006.5400     -2264.8477     0.98892309     0.47363653      1.0980489   0.0081219687
            401      4.0010391      748.29699     -3013.1442     -2264.8472     0.99772931     0.47785420      1.0980489   0.0078522153
            411      4.1008156      754.24250     -3019.0895     -2264.8470      1.0056567     0.48165094      1.0980489   0.0075941488
            421      4.2005921      759.89476     -3024.7416     -2264.8468      1.0131930     0.48526041      1.0980489   0.0073478420
            431      4.3003687      765.25612     -3030.1033     -2264.8472      1.0203415     0.48868411      1.0980489   0.0071133508
            441      4.4001452      769.90514     -3034.7528     -2264.8476      1.0265402     0.49165292      1.0980489   0.0068907246
            451      4.4999218      773.17391     -3038.0222     -2264.8483      1.0308985     0.49374033      1.0980489   0.0066799154
            461      4.5996983      774.47113     -3039.3193     -2264.8482      1.0326282     0.49456871      1.0980489   0.0064806408
            471      4.6994748      773.66333     -3038.5113     -2264.8480      1.0315511     0.49405287      1.0980489   0.0062922784
            481      4.7992514      771.26571     -3036.1130     -2264.8473      1.0283543     0.49252177      1.0980489   0.0061138661
            491      4.8990279      768.32561     -3033.1722     -2264.8466      1.0244342     0.49064426      1.0980489   0.0059442330
            501      4.9988044      766.06447     -3030.9106     -2264.8462      1.0214193     0.48920031      1.0980489   0.0057822162
            511      5.0985810      765.47601     -3030.3218     -2264.8458      1.0206347     0.48882453      1.0980489   0.0056268799
            521      5.1983575      767.09724     -3031.9430     -2264.8457      1.0227963     0.48985983      1.0980489   0.0054776653
            531      5.2981340      770.91825     -3035.7643     -2264.8460      1.0278910     0.49229989      1.0980489   0.0053344373
            541      5.3979106      776.46253     -3041.3090     -2264.8464      1.0352834     0.49584040      1.0980489   0.0051974367
            551      5.4976871      782.92642     -3047.7733     -2264.8469      1.0439019     0.49996817      1.0980489   0.0050671579
            561      5.5974636      789.41681     -3054.2641     -2264.8473      1.0525557     0.50411286      1.0980489   0.0049441921
            571      5.6972402      795.17198     -3060.0198     -2264.8478      1.0602293     0.50778805      1.0980489   0.0048290745
            581      5.7970167      799.71886     -3064.5670     -2264.8481      1.0662918     0.51069164      1.0980489   0.0047221761
            591      5.8967933      802.89004     -3067.7382     -2264.8482      1.0705201     0.51271672      1.0980489   0.0046236577
            601      5.9965698      804.71091     -3069.5593     -2264.8484      1.0729479     0.51387951      1.0980489   0.0045334775
            611      6.0963463      805.18816     -3070.0369     -2264.8487      1.0735842     0.51418427      1.0980489   0.0044514258
            621      6.1961229      804.15573     -3069.0046     -2264.8489      1.0722076     0.51352498      1.0980489   0.0043771472
            631      6.2958994      801.33562     -3066.1848     -2264.8492      1.0684475     0.51172408      1.0980489   0.0043101254
            641      6.3956759      796.56527     -3061.4144     -2264.8491      1.0620870     0.50867779      1.0980489   0.0042496465
            651      6.4954525      789.96969     -3054.8187     -2264.8490      1.0532929     0.50446593      1.0980489   0.0041947833
            661      6.5952290      781.96160     -3046.8104     -2264.8488      1.0426155     0.49935205      1.0980489   0.0041444210
            671      6.6950055      773.19198     -3038.0402     -2264.8482      1.0309226     0.49375186      1.0980489   0.0040973259
            681      6.7947821      764.51232     -3029.3599     -2264.8476      1.0193498     0.48820913      1.0980489   0.0040522371
            691      6.8945586      756.97004     -3021.8170     -2264.8470      1.0092934     0.48339271      1.0980489   0.0040079777
            701      6.9943351      751.64911     -3016.4960     -2264.8469      1.0021988     0.47999482      1.0980489   0.0039635851
            711      7.0941117      749.25455     -3014.1014     -2264.8468     0.99900607     0.47846569      1.0980489   0.0039184354
            721      7.1938882      749.74354     -3014.5910     -2264.8475     0.99965805     0.47877795      1.0980489   0.0038723094
            731      7.2936648      752.32721     -3017.1754     -2264.8482      1.0031030     0.48042786      1.0980489   0.0038253556
            741      7.3934413      755.84142     -3020.6903     -2264.8489      1.0077886     0.48267199      1.0980489   0.0037779617
            751      7.4932178      759.19828     -3024.0475     -2264.8493      1.0122644     0.48481564      1.0980489   0.0037305909
            761      7.5929944      761.70472     -3026.5540     -2264.8492      1.0156063     0.48641623      1.0980489   0.0036836424
            771      7.6927709      763.16231     -3028.0115     -2264.8492      1.0175497     0.48734703      1.0980489   0.0036373777
            781      7.7925474      763.73494     -3028.5839     -2264.8490      1.0183133     0.48771270      1.0980489   0.0035919138
            791      7.8923240      763.64621     -3028.4953     -2264.8490      1.0181949     0.48765604      1.0980489   0.0035472619
            801      7.9921005      762.91890     -3027.7681     -2264.8492      1.0172252     0.48719159      1.0980489   0.0035033681
            811      8.0918770      761.38491     -3026.2340     -2264.8491      1.0151799     0.48621200      1.0980489   0.0034601191
            821      8.1916536      758.98379     -3023.8327     -2264.8489      1.0119784     0.48467867      1.0980489   0.0034173188
            831      8.2914301      756.10976     -3020.9581     -2264.8484      1.0081464     0.48284335      1.0980489   0.0033746750
            841      8.3912066      753.62409     -3018.4717     -2264.8476      1.0048321     0.48125602      1.0980489   0.0033318420
            851      8.4909832      752.53291     -3017.3801     -2264.8472      1.0033772     0.48055921      1.0980489   0.0032885175
            861      8.5907597      753.48525     -3018.3323     -2264.8470      1.0046470     0.48116736      1.0980489   0.0032445522
            871      8.6905362      756.49614     -3021.3435     -2264.8473      1.0086615     0.48309008      1.0980489   0.0032000140
            881      8.7903128      761.07517     -3025.9229     -2264.8478      1.0147669     0.48601420      1.0980489   0.0031551779
            891      8.8900893      766.48717     -3031.3354     -2264.8482      1.0219829     0.48947025      1.0980489   0.0031104633
            901      8.9898659      771.96466     -3036.8135     -2264.8488      1.0292862     0.49296811      1.0980489   0.0030663562
            911      9.0896424      776.76045     -3041.6098     -2264.8493      1.0356806     0.49603065      1.0980489   0.0030233356
            921      9.1894189      780.15181     -3045.0014     -2264.8496      1.0402024     0.49819634      1.0980489   0.0029818066
