     Time step:          Time:            Ek:            Ep:            Et:          Temp:          T/Ti:       Density:     Diffusion:
              1   0.0099776536      2230.1896     -3732.0264     -1501.8369      2.9735861     0.93695686      1.0979885  0.00037137982
             11     0.10975419      2208.9040     -3710.7419     -1501.8379      2.9452053     0.92801429      1.0980489   0.0040721955
             21     0.20953072      2151.2203     -3653.0607     -1501.8404      2.8682937     0.90377996      1.0980489   0.0077072432
             31     0.30930726      2054.9118     -3556.7557     -1501.8439      2.7398824     0.86331842      1.0980489    0.011212868
             41     0.40908380      1917.4061     -3419.2531     -1501.8470      2.5565415     0.80554893      1.0980489    0.014518530
             51     0.50886033      1738.3617     -3240.2075     -1501.8458      2.3178156     0.73032804      1.0980489    0.017545091
             61     0.60863687      1524.3479     -3026.1845     -1501.8366      2.0324639     0.64041562      1.0980489    0.020206979
             71     0.70841340      1294.1344     -2795.9527     -1501.8184      1.7255125     0.54369732      1.0980489    0.022421384
             81     0.80818994      1078.9496     -2580.7473     -1501.7977      1.4385995     0.45329296      1.0980489    0.024125854
             91     0.90796647      911.63404     -2413.4203     -1501.7863      1.2155121     0.38299963      1.0980489    0.025298793
            101      1.0077430      810.67139     -2312.4593     -1501.7879      1.0808952     0.34058277      1.0980489    0.025969912
            111      1.1075195      774.16497     -2275.9628     -1501.7979      1.0322200     0.32524553      1.0980489    0.026212151
            121      1.2072961      786.55505     -2288.3645     -1501.8094      1.0487401     0.33045090      1.0980489    0.026120911
            131      1.3070726      828.28180     -2330.1011     -1501.8193      1.1043757     0.34798133      1.0980489    0.025793138
            141      1.4068492      881.92262     -2383.7488     -1501.8262      1.1758968     0.37051714      1.0980489    0.025313485
            151      1.5066257      934.72606     -2436.5557     -1501.8296      1.2463014     0.39270115      1.0980489    0.024748095
            161      1.6064022      979.10186     -2480.9323     -1501.8304      1.3054691     0.41134450      1.0980489    0.024143811
            171      1.7061788      1012.0305     -2513.8599     -1501.8293      1.3493740     0.42517864      1.0980489    0.023530584
            181      1.8059553      1033.8270     -2535.6548     -1501.8278      1.3784360     0.43433587      1.0980489    0.022925325
            191      1.9057318      1046.6700     -2548.4962     -1501.8262      1.3955600     0.43973152      1.0980489    0.022335985
            201      2.0055084      1053.3291     -2555.1536     -1501.8245      1.4044388     0.44252917      1.0980489    0.021765071
            211      2.1052849      1056.3196     -2558.1429     -1501.8232      1.4084262     0.44378556      1.0980489    0.021212240
            221      2.2050614      1057.5922     -2559.4146     -1501.8225      1.4101229     0.44432019      1.0980489    0.020675955
            231      2.3048380      1058.4352     -2560.2576     -1501.8224      1.4112470     0.44467438      1.0980489    0.020154452
            241      2.4046145      1059.3102     -2561.1329     -1501.8227      1.4124135     0.44504196      1.0980489    0.019646208
            251      2.5043910      1059.8548     -2561.6780     -1501.8232      1.4131397     0.44527078      1.0980489    0.019150016
            261      2.6041676      1059.3583     -2561.1817     -1501.8234      1.4124777     0.44506217      1.0980489    0.018664729
            271      2.7039441      1057.3651     -2559.1886     -1501.8235      1.4098201     0.44422479      1.0980489    0.018188958
            281      2.8037206      1054.0151     -2555.8381     -1501.8230      1.4053535     0.44281738      1.0980489    0.017720924
            291      2.9034972      1050.3309     -2552.1525     -1501.8217      1.4004411     0.44126953      1.0980489    0.017258567
            301      3.0032737      1048.4017     -2550.2218     -1501.8200      1.3978690     0.44045906      1.0980489    0.016799924
            311      3.1030503      1050.3176     -2552.1373     -1501.8197      1.4004235     0.44126397      1.0980489    0.016343808
            321      3.2028268      1056.2149     -2558.0360     -1501.8212      1.4082865     0.44374155      1.0980489    0.015890383
            331      3.3026033      1064.2401     -2566.0624     -1501.8222      1.4189869     0.44711316      1.0980489    0.015440996
            341      3.4023799      1072.3977     -2574.2202     -1501.8225      1.4298636     0.45054034      1.0980489    0.014997414
            351      3.5021564      1079.7197     -2581.5419     -1501.8222      1.4396262     0.45361649      1.0980489    0.014561133
            361      3.6019329      1086.2550     -2588.0763     -1501.8213      1.4483400     0.45636214      1.0980489    0.014133137
            371      3.7017095      1092.8550     -2594.6752     -1501.8202      1.4571400     0.45913497      1.0980489    0.013713989
            381      3.8014860      1100.8653     -2602.6845     -1501.8192      1.4678204     0.46250029      1.0980489    0.013304132
            391      3.9012625      1111.3878     -2613.2069     -1501.8191      1.4818504     0.46692104      1.0980489    0.012904268
            401      4.0010391      1124.3958     -2626.2160     -1501.8202      1.4991944     0.47238601      1.0980489    0.012515635
            411      4.1008156      1138.2966     -2640.1188     -1501.8222      1.5177288     0.47822609      1.0980489    0.012139955
            421      4.2005921      1150.4256     -2652.2493     -1501.8237      1.5339008     0.48332176      1.0980489    0.011779019
            431      4.3003687      1158.3425     -2660.1671     -1501.8246      1.5444567     0.48664785      1.0980489    0.011434074
            441      4.4001452      1161.0940     -2662.9181     -1501.8241      1.5481253     0.48780382      1.0980489    0.011105343
            451      4.4999218      1159.6172     -2661.4400     -1501.8227      1.5461563     0.48718341      1.0980489    0.010791959
            461      4.5996983      1156.0278     -2657.8491     -1501.8213      1.5413703     0.48567537      1.0980489    0.010492309
            471      4.6994748      1152.5089     -2654.3292     -1501.8203      1.5366785     0.48419702      1.0980489    0.010204552
            481      4.7992514      1150.7888     -2652.6081     -1501.8193      1.5343851     0.48347438      1.0980489   0.0099270676
            491      4.8990279      1152.1172     -2653.9361     -1501.8189      1.5361563     0.48403245      1.0980489   0.0096587228
            501      4.9988044      1157.0992     -2658.9183     -1501.8191      1.5427990     0.48612552      1.0980489   0.0093990143
